source_id	project_root	modality	inventory_scale	n_patients	n_blocks	n_sections	n_auditable_units	v7_primary_role	response_eligible	current_status	main_caveat
006_sc_identity	/home/huyudi/006	scRNA/scTCR	48_objects_15888628_cells	about_1670_patient_keys	NA	NA	44_count_compatible_objects	pan_cancer_response_blind_program_and_carrier_discovery	no	available	4_objects_are_support_only_not_raw_count_projection
006_TASK01	/home/huyudi/006	scRNA_longitudinal	25_baseline_24_on_23_post	25	NA	NA	25_baseline_patients	HCC_PD1_reference_and_longitudinal_anchor	yes_with_sensitivity	available	collection_dates_and_first_dose_timeline_not_fully_proven
006_TASK02	/home/huyudi/006	scRNA_longitudinal	23_baseline	23	NA	NA	23_baseline_patients	HCC_PD1_plus_X_longitudinal_rewiring	yes_within_environment	available	PD1_plus_lenvatinib_not_exchangeable_with_TASK01
006_LAMBRECHT_HCC	/home/huyudi/006	scRNA_longitudinal	25_pre_22_post_22_paired	25	NA	NA	22_paired_patients	HCC_external_combination_trajectory_validation	yes_within_environment	available	checkpoint_and_combination_drug_differ_from_TASK02
006_GSE286827	/home/huyudi/006	scRNA	13_durvalumab_mono_plus_dual_ICI_arm	13_mono_arm	NA	NA	13_mono_arm_patients	external_direction_support	yes_within_arm	available	small_arm_and_dual_ICI_not_clean_PD1_replication
006_GSE301741	/home/huyudi/006	scRNA	16_source_patients	16	NA	NA	16_identity_reconciled	HNSCC_anchor_candidate	no_until_bridge_repair	identity_reconciled	formal_mid_level_measurement_coverage_insufficient
006_GSE238264	/home/huyudi/006	Visium	7_HCC_post_treatment	7	unknown	7	7_sections	HCC_post_treatment_spatial_response_support	yes_for_post_treatment_association	available	no_baseline_and_PD1_cabozantinib_effects_not_separable
006_GSE291246	/home/huyudi/006	Xenium	35_BCC_sections_17_h5ad_PASS	unknown	unknown	35	17_h5ad_PASS	BCC_cross_cancer_spatial_support	no	partial	18_sections_lack_transcripts_and_response_is_unavailable
006_Mendeley_HCC	/home/huyudi/006	spatial_RDS	11_HCC_objects	unknown	unknown	unknown	11_expression_coordinate_objects	HCC_spatial_structure_support	no_until_provenance_reconciled	metadata_conflict	patient_section_response_and_image_scale_contract_not_closed
006_bulk	/home/huyudi/006	bulkRNA	multiple_cohorts	cohort_specific	NA	NA	cohort_specific	external_patient_level_direction_and_clinical_scale	cohort_specific	available	treatment_endpoint_and_mapping_require_per_cohort_audit
006_perturbation	/home/huyudi/006	scPerturb_L1000	GSE133344_GSE193736_GSE306429_GSE90063_XAtlas_L1000	NA	NA	NA	condition_specific	intervention_to_program_direction	no	available	cell_context_and_target_coverage_not_clinical_response
013_HTAN_CRC	/home/huyudi/013_spatial	spatial	30_patients_31_blocks_47_sections	30	31	47	47_sections	spatial_foundation_and_discovery	no	available	formal_real_data_R04_K_not_selected
013_GSE175540	/home/huyudi/013_spatial	Visium	24_sample_cohort	patient_crosswalk_required	unknown	24_samples	18_auditable_sources	TLS_locked_external_validation	no	available	primary_external_role_cannot_enter_selection_or_tuning
013_ST_CRC_CMS	/home/huyudi/013_spatial	serial_spatial	14_sections_7_patients	7	unknown	14	12_auditable_sources	boundary_internal_and_serial_section_validation	no	available	two_sections_have_no_boundary_audit_rows_and_sections_are_nested
013_TLS_USZ	/home/huyudi/013_spatial	Visium	8_patients	8	unknown	8	8_auditable_sources	TLS_locked_external_validation	no	available	small_patient_count_and_external_role_cannot_enter_selection
013_HEST	/home/huyudi/013_spatial	multi_platform_spatial	492_selected_samples	unknown	unknown	unknown	492_selected_samples_pending_audit	atlas_reference_and_platform_stress_test	no	available	treatment_metadata_nearly_absent
013_10x_cancer	/home/huyudi/013_spatial	Visium_Xenium	73_datasets	unknown	unknown	unknown	pending_stage1_audit	adapter_and_platform_stress_test	no	available	patient_identity_duplicate_and_license_audit_needed
013_STOmicsDB	/home/huyudi/013_spatial	Stereo_seq	78_datasets	unknown	unknown	unknown	pending_stage1_audit	cross_platform_candidate_discovery	no	available	clinical_fields_incomplete
013_GSE211956	/home/huyudi/013_spatial	spatial	candidate_patient_crosswalk	unknown	unknown	unknown	0_until_interface_closure	response_linked_spatial_candidate	pending	incomplete	expression_coordinates_structure_and_response_semantics_not_closed
