group,is_load,is_preqc,id,resource,data_type,protocal,data_format,only_normd,celltype,organ,tissue,disease,num_patient,num_cell,loc_or_mta,treatment,prior_treatment,timepoint,tp_paired,has_os_pfs,has_outcome,is_annoed,if_qc,num_perturb_target,citiation,
imm,,,TASK01,inhouse,scRNA/scTCR,10X,txt,F,whole,liver,tumor,hcc,25,300k,loc,PD1,none,pre/post,paired,os/pfs,mRECIST,T,,,inhouse,
combo,,,TASK02,inhouse,scRNA/scTCR,10x,txt,F,whole,liver,tumor,hcc,25,300k,loc,PD1+TKI,none,pre/post,paired,os/pfs,mRECIST,T,,,inhouse,
combo,y,n,GSE151530,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE151530,scRNA,10x,txt,F,whole,liver,tumor,hcc/icc,37,56k,loc,PD1/CTLA4/PD1+CTLA4/none,TACE/RFA,pre/post/long-post,paired,none,none,T,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC8604764/#S6,
combo,y,n,GSE169246,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE169246,scRNA`,10x,txt,F,CD45+,breast,tumor,tnbc,22,489k,loc/meta,PDL1+chemo/chemo,none,pre,none,none,RECIST,N,,,https://www.cell.com/cancer-cell/fulltext/S1535-6108(21)00499-2?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1535610821004992%3Fshowall%3Dtrue#mmc2,
combo,y,n,GSE205506,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE205506,scRNA,10x,txt,F,whole,colorectum,tumor/adj,crc,19,155k,loc,PD1/PD1+celecoxib,none,pre/post,paired,none,pCR,N,,,https://www.cell.com/cancer-cell/fulltext/S1535-6108(23)00137-X?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS153561082300137X%3Fshowall%3Dtrue,
combo,y,n,GSE249974,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE249974,scRNA,10X,h5,F,whole,liver,tumor,icc,3,10K,loc,PD1+CTLA4+VEGFA,none,pre/post,paired,plot,tumor_size,N,F,,https://www.cell.com/immunity/fulltext/S1074-7613(25)00084-6?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1074761325000846%3Fshowall%3Dtrue,
combo,y,n,GSE284205,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE249974,scRNA,10x,h5,F,whole,liver,pbmc,icc,6,50k,loc,PD1+CTLA4+VEGFA,none,pre/post,paired,plot,tumor_size,N,F,,https://www.cell.com/immunity/fulltext/S1074-7613(25)00084-6?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1074761325000846%3Fshowall%3Dtrue,
combo,,,GSE286827,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi,scRNA/scTCR,10x,rds,F,whole,head_neck,tumor,hnscc,29,200k,loc,PD1/PD1+CTLA4,none,pre/post,paired,none,patho,T,T,,https://www.cell.com/cell-reports-medicine/fulltext/S2666-3791(25)00481-1,
imm,,,PRJCA001063,https://zenodo.org/records/3969339,scRNA,10x,h5ad,F,whole,pancreatic,tumor/adj,pdac,35,67k,loc,none,none,pre,none,none,none,F,F,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6796938/#sec28,
imm,,,GSE266919,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE266919,scRNA,10x,rds,T,immune,breast,tumor,tnbc,44,447k,loc/meta,PTX/PTX+ATZ,none,pre/post,paired,none,RECIST,T,,,https://www.cell.com/cancer-cell/fulltext/S1535-6108(25)00025-X?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS153561082500025X%3Fshowall%3Dtrue,
imm,,,mendeley_skrx2fz79n,https://data.mendeley.com/public-files/datasets/skrx2fz79n/files/37afb7ee-eb2b-4ac5-8447-de8aa7623677/file_downloaded,scRNA,10x,rds,F,whole,liver,tumor/adj,hcc,6,84k,loc,PD1,none,post,none,pfs,R/NR,T,T,,https://www.journal-of-hepatology.eu/article/S0168-8278(23)00023-5/fulltext#supplementary-material,
imm,,,mendeley_skrx2fz79n,https://data.mendeley.com/public-files/datasets/skrx2fz79n/files/37afb7ee-eb2b-4ac5-8447-de8aa7623677/file_downloaded,ST,10x spatial 3' v1,rds,F,whole,liver,tumor/adj,hcc,8,,loc,PD1,none,post,none,pfs,R/NR,T,T,,https://www.journal-of-hepatology.eu/article/S0168-8278(23)00023-5/fulltext#supplementary-material,
imm,,,GSE246613,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE246613,scRNA/scTCR/scBCR,10x,h5ad,F,CD45+/CD45-,breast,tumor,tnbc,34,514k,loc,PD1+chemo,none,pre/on,paired,none,pCR,T,,,https://www.cell.com/cancer-cell/fulltext/S1535-6108(23)00440-3?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1535610823004403%3Fshowall%3Dtrue,
imm,,,GSE206325,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE206325,scRNA/scTCR,10X,rdata,F,CD45+,liver,tumor,hcc,20,918k,loc,PD1/PDL1,none,pre/post,paired,none,patho,T,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11027932/#S1,
imm,,,GSE161801,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE161801,scRNA,10X,txt,F,BME/Mye/Plasma,bone marrow,tumor,RRMM,20,210k,loc,chemo/target,none,pre/post,paired,none,IMWG,T,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC8630108/#sec28,
imm,,,GSE176021,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE176021,scRNA/scTCR,10x,txt,F,CD3+,lung,tumor/tdln/adj/pbmc,nsclc,16,560k,loc/meta,PD1,none,pre/post,paired,none,MPR/non-MPR,t,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC8338555/,very long term
imm,,,GSE229772,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE229772,scRNA,10X,TXT,T,whole,liver,tumor,hcc/icc,11,57k,loc,PD1/CTLA4/PDL1+CTLA4,none,pre/post/long-post,paired,none,none,T,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC10897542/,multi-regional
imm,y,y,GSE189903,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE189903,scRNA,10x,txt,F,whole,liver,tumor/adj,hcc/icc,4,112k,loc,none,none,pre,none,none,none,T,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9729309/,
combo,y,n,bi_2021_rcc,https://singlecell.broadinstitute.org/single_cell/study/SCP1288/tumor-and-immune-reprogramming-during-immunotherapy-in-advanced-renal-cell-carcinoma#study-download,scRNA,10x,txt,F,whole,kidney,tumor,rcc,8,34k,loc/meta,PD1/PD1+TKI/non,none,post,none,none,PR/PD/SD/NE,T,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC8115394/,
combo,,,GSE200996,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE200996,scRNA/bulkTCR,10x,h5/txt,F,CD45+,head_neck,tumor/pbmc,hnscc,29,220k,loc,PD1/PD1+CTLA4,none,pre/post,paired,none,Vol/Path,T,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9508682/#SM1,
combo,,,GSE207422,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207422,scRNA,10x,txt,F,whole,lung,tumor,nsclc,15,92k,loc,PD1+chemo,none,pre/post,unpaired,none,Patho/RECIST,F,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9985263/#MOESM2,
combo,,,GSE207422,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207422,bulkRNA,,txt,T,whole,lung,tumor,nsclc,21,none,loc,PD1+chemo,none,pre,none,none,Patho/RECIST,none,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9985263/#MOESM2,
combo,,,GSE225063,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE225063,scRNA/scTCR,10x,tar,F,CD45+,skin,tumor/pbmc,melanoma,39,290K,loc,PD1/LAG3/PD1+LAG3,none,pre/post/long,paired,none,none,none,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11346583/,
combo,,,GSE232240,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE232240,scRNA/scTCR,10x,txt,F,CD45+,head_neck,tumor,hnscc,19,32k,loc,PD1/PD1+CTLA4,none,pre/post,paired,none,Patho/RECIST,T,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC10551666/#sec2,
