name,go_id,level,n_genes,msigdb_filtered,max_hallmark_jaccard,max_hallmark_match,ic
GOBP_REGULATION_OF_DNA_RECOMBINATION,GO:0000018,7,141,False,0.04281345565749235,HALLMARK_E2F_TARGETS,4.849367146500134
GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY,GO:0000027,7,21,False,0.025974025974025976,HALLMARK_MYC_TARGETS_V2,6.753604599154879
GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY,GO:0000028,7,22,False,0.00909090909090909,HALLMARK_MYC_TARGETS_V1,6.707084583519986
GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS,GO:0000038,6,35,False,0.0859375,HALLMARK_PEROXISOME,6.242778975388888
GOBP_TRANSITION_METAL_ION_TRANSPORT,GO:0000041,7,102,False,0.02027027027027027,HALLMARK_HEME_METABOLISM,5.173154223594031
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION,GO:0000070,4,197,False,0.11830985915492957,HALLMARK_G2M_CHECKPOINT,4.514923308140313
GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING,GO:0000075,4,185,False,0.08757062146892655,HALLMARK_E2F_TARGETS,4.577771211799977
GOBP_DNA_REPLICATION_CHECKPOINT_SIGNALING,GO:0000076,6,20,False,0.018518518518518517,HALLMARK_E2F_TARGETS,6.802394763324311
GOBP_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY,GO:0000079,8,33,False,0.021929824561403508,HALLMARK_G2M_CHECKPOINT,6.3016194754118215
GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS,GO:0000096,4,32,False,0.038461538461538464,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,6.332391134078575
GOBP_RRNA_MODIFICATION,GO:0000154,6,36,False,0.021739130434782608,HALLMARK_MYC_TARGETS_V2,6.214608098422191
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY,GO:0000184,9,45,False,0.039473684210526314,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,5.991464547107982
GOBP_PROTEIN_POLYUBIQUITINATION,GO:0000209,10,265,False,0.028761061946902654,HALLMARK_INTERFERON_GAMMA_RESPONSE,4.218397210892079
GOBP_MEIOTIC_SPINDLE_ORGANIZATION,GO:0000212,3,22,False,0.027906976744186046,HALLMARK_MITOTIC_SPINDLE,6.707084583519986
GOBP_SPLICEOSOMAL_TRI_SNRNP_COMPLEX_ASSEMBLY,GO:0000244,8,27,False,0.008888888888888889,HALLMARK_G2M_CHECKPOINT,6.502290170873972
GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY,GO:0000245,7,94,False,0.0425531914893617,HALLMARK_MYC_TARGETS_V1,5.2548322546082975
GOBP_MITOCHONDRIAL_FISSION,GO:0000266,6,43,False,0.022058823529411766,HALLMARK_PROTEIN_SECRETION,6.036926921184739
