level,Count,Mean_Genes,Median_Genes,Min_Genes,Max_Genes,MSigDB_Filtered,Mean_Hallmark_J,Max_Hallmark_J
1,11,794.18,410.0,9,1864,3,0.04,0.1
2,140,313.12,107.0,5,1936,41,0.04,0.1
3,743,137.28,33.0,5,1928,156,0.03,0.18
4,1438,125.33,27.0,5,1986,271,0.03,0.23
5,1843,71.41,21.0,5,1560,325,0.03,0.28
6,1660,48.48,17.0,5,1613,224,0.03,0.3
7,1090,40.18,15.0,5,1912,129,0.02,0.24
8,417,41.06,14.0,5,1721,46,0.02,0.21
9,120,28.28,13.0,5,711,14,0.02,0.07
10,57,65.46,13.0,5,1248,8,0.02,0.07
11,22,26.14,11.0,5,110,0,0.02,0.09
12,5,10.2,8.0,5,18,0,0.01,0.02
13,2,6.5,6.5,5,8,0,0.0,0.01
