ontology_id	level	node_kind	label	parent_label	parent_ontology_id	definition	reliability_rule	allowed_downstream_use	is_exclusive	is_synthetic	legacy_annotation_role	source_version	source_sha256	provenance_status
annotation_status::coarse::Low_quality_or_ambient	coarse	annotation_status	Low_quality_or_ambient			Cells failing QC or dominated by ambient RNA / stress signatures.		excluded	False	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
annotation_status::coarse::Mixed	coarse	annotation_status	Mixed			Synthetic explicit Mixed mapping state for v7 interoperability.		excluded	False	True		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v7_explicit_mapping_status
annotation_status::coarse::Unknown	coarse	annotation_status	Unknown			Cells that cannot be confidently assigned to any coarse lineage.		excluded	False	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
annotation_status::fine::Low_quality_or_ambient	fine	annotation_status	Low_quality_or_ambient	Low_quality_or_ambient	annotation_status::mid::Low_quality_or_ambient	Synthetic explicit Low_quality_or_ambient mapping state for v7 interoperability.		excluded	False	True		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v7_explicit_mapping_status
annotation_status::fine::Mixed	fine	annotation_status	Mixed	Mixed	annotation_status::mid::Mixed	Synthetic explicit Mixed mapping state for v7 interoperability.		excluded	False	True		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v7_explicit_mapping_status
annotation_status::fine::Unknown	fine	annotation_status	Unknown	Unknown	annotation_status::mid::Unknown	Synthetic explicit Unknown mapping state for v7 interoperability.		excluded	False	True		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v7_explicit_mapping_status
annotation_status::mid::Low_quality_or_ambient	mid	annotation_status	Low_quality_or_ambient	Low_quality_or_ambient	annotation_status::coarse::Low_quality_or_ambient	Synthetic explicit Low_quality_or_ambient mapping state for v7 interoperability.		excluded	False	True		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v7_explicit_mapping_status
annotation_status::mid::Mixed	mid	annotation_status	Mixed	Mixed	annotation_status::coarse::Mixed	Synthetic explicit Mixed mapping state for v7 interoperability.		excluded	False	True		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v7_explicit_mapping_status
annotation_status::mid::Unknown	mid	annotation_status	Unknown	Unknown	annotation_status::coarse::Unknown	Unassigned mid-level state.			False	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
identity::coarse::B_Plasma	coarse	identity	B_Plasma			B lymphocytes and antibody-secreting plasma cells.		fraction, pseudobulk, signature	True	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
identity::coarse::CAF_Stromal	coarse	identity	CAF_Stromal			Cancer-associated fibroblasts and other stromal fibroblast-like cells.		fraction, pseudobulk, signature	True	False		v6.2.0	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	v6_response_blind_ontology_inherited
