feature_family	feature_id	modality	aggregation_level	n_observations	n_scoreable	n_datasets	n_patients	median_coverage	n_exact_pairs	n_support_only_pairs	paired_spearman	paired_diagnostic_status	replicate_profile_median_spearman	n_replicate_pairs	repeatability_status	technical_status	D2_class	D2_reason	modality_evidence_status	n_paired_bulk_evidence	perturbation_repeatability
legacy_fm	FM01	bulkRNA	bulk_sample	24	24	1	24	0.972884450159531	2.0	1.0		paired_descriptive_insufficient_n	0.9761904761904763	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	descriptive_only	paired_descriptive_insufficient_n	GSE207422_exact_pairs_are_response_blind_and_insufficient_for_directional_validation	paired_descriptive_insufficient_n	2.0	
legacy_fm	FM01	bulk_perturbation	perturbation_sample	24	24	1	1	0.9976111865376224	2.0	1.0		paired_descriptive_insufficient_n	0.9761904761904763	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	interface_only	interface_only_no_directional_validation	GSE193736_repeatability_does_not_supply_perturbation_or_response_direction	interface_only_no_directional_validation	0.0	0.9761904761904763
legacy_fm	FM01	scRNA	expression_unit	32821	32821	44	1106	0.9992175794034079	2.0	1.0		paired_descriptive_insufficient_n	0.9761904761904763	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	valid	joint_representation_with_uncertainty	scoreable_but_stability_or_null_evidence_is_incomplete_or_overlapping	scRNA_D2_inherited	0.0	
legacy_fm	FM01	spatial	bin	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
legacy_fm	FM01	spatial	region	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
legacy_fm	FM01	spatial	spot	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
legacy_fm	FM02	bulkRNA	bulk_sample	24	24	1	24	0.9843036096482848	2.0	1.0		paired_descriptive_insufficient_n	0.9285714285714287	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	descriptive_only	paired_descriptive_insufficient_n	GSE207422_exact_pairs_are_response_blind_and_insufficient_for_directional_validation	paired_descriptive_insufficient_n	2.0	
legacy_fm	FM02	bulk_perturbation	perturbation_sample	24	24	1	1	0.9367807074271461	2.0	1.0		paired_descriptive_insufficient_n	0.9285714285714287	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	interface_only	interface_only_no_directional_validation	GSE193736_repeatability_does_not_supply_perturbation_or_response_direction	interface_only_no_directional_validation	0.0	0.9285714285714287
legacy_fm	FM02	scRNA	expression_unit	32821	32821	44	1106	0.9953186002554361	2.0	1.0		paired_descriptive_insufficient_n	0.9285714285714287	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	valid	joint_representation_with_uncertainty	scoreable_but_stability_or_null_evidence_is_incomplete_or_overlapping	scRNA_D2_inherited	0.0	
legacy_fm	FM02	spatial	bin	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
legacy_fm	FM02	spatial	region	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
legacy_fm	FM02	spatial	spot	0	0	0	0									not_run	pending_stage3	NOT_RUN_PENDING_STAGE3			
legacy_fm	FM03	bulkRNA	bulk_sample	24	24	1	24	0.9863008045234009	2.0	1.0		paired_descriptive_insufficient_n	0.9047619047619048	3.0	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM	descriptive_only	paired_descriptive_insufficient_n	GSE207422_exact_pairs_are_response_blind_and_insufficient_for_directional_validation	paired_descriptive_insufficient_n	2.0	
