feature_id	n_matched_contexts	n_ambient_units	n_reference_units	ambient_minus_other_median_native	ambient_minus_other_median_z	ambient_metric_scale	ambient_interpretation	ambient_status
FM01	1697	1697	13270	-0.11970539721685203		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE
FM02	1697	1697	13270	-0.34537384939777116		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE
FM03	1697	1697	13270	-0.30489257146086857		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE
FM04	1697	1697	13270	-0.161991499134313		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE
FM05	1697	1697	13270	-0.2819804742368186		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE
FM06	1697	1697	13270	-0.2241036508659322		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE
FM07	1697	1697	13270	-0.12710318143850596		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE
FM08	1697	1697	13270	-0.25225018301161395		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE
mechanism__angiogenesis_endothelial__curated_angiogenesis	1697	1697	13270	-0.11583014074079045		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	1697	1697	13270	0.041288460089605517		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE
mechanism__angiogenesis_endothelial__reactome_vegf	1697	1697	13270	0.04692961297418874		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE
mechanism__apc_ifn_apm__curated_antigen_presentation	1697	1697	13270	-0.510085392779926		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE
mechanism__apc_ifn_apm__curated_apc_dc_activation	1697	1697	13270	0.07610279599603187		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE
mechanism__apc_ifn_apm__curated_ifn_response	1697	1697	13270	-0.15742198066217994		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE
mechanism__apc_ifn_apm__hallmark_ifn_alpha	1697	1697	13270	-0.039173489579087395		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE
mechanism__apc_ifn_apm__hallmark_ifn_gamma	1697	1697	13270	-0.044984572164830094		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE
