feature_id	n_patient_timepoints	abundance_equal_state_spearman	carrier_dependency_status
FM01	3752	0.936887320387095	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
FM02	3752	0.8630166988583229	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
FM03	3752	0.8706650751485184	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
FM04	3752	0.8766346538481777	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
FM05	3752	0.829448427389475	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
FM06	3752	0.9024895327177601	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
FM07	3752	0.8902726525142657	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
FM08	3752	0.8745496792679733	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
mechanism__angiogenesis_endothelial__curated_angiogenesis	3752	0.7766713472213832	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	3752	0.8654327515218326	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
mechanism__angiogenesis_endothelial__reactome_vegf	3752	0.6709709845981853	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
mechanism__apc_ifn_apm__curated_antigen_presentation	3752	0.8320735565550695	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
mechanism__apc_ifn_apm__curated_apc_dc_activation	3752	0.7843445264605389	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
mechanism__apc_ifn_apm__curated_ifn_response	3752	0.952845901880038	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
mechanism__apc_ifn_apm__hallmark_ifn_alpha	3752	0.8213514814225825	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
mechanism__apc_ifn_apm__hallmark_ifn_gamma	3752	0.7877857126970428	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
mechanism__apc_ifn_apm__reactome_ifn_alpha_beta	3752	0.893218044571939	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
mechanism__apc_ifn_apm__reactome_ifn_gamma	3752	0.7856448234259319	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
mechanism__apc_ifn_apm__reactome_mhc_i	3752	0.6917385312795841	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
mechanism__apc_ifn_apm__reactome_mhc_ii	3752	0.7184582093907098	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
mechanism__caf_ecm__curated_stromal_tgfb	3752	0.8725272263009152	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
mechanism__caf_ecm__hallmark_emt	3752	0.8765631722419384	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
mechanism__caf_ecm__reactome_ecm	3752	0.8475700954364881	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
mechanism__cytotoxic_t_nk__curated_cytotoxicity	3752	0.8773424230410254	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
mechanism__cytotoxic_t_nk__curated_nk_cytotoxicity	3752	0.8852602938981893	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
mechanism__cytotoxic_t_nk__hallmark_allograft_rejection	3752	0.7099948863585036	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
mechanism__exhaustion__curated_broad_exhaustion	3752	0.9114662351939167	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
mechanism__exhaustion__sentinel_progenitor_exhaustion	3752	0.8721976421279513	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
mechanism__exhaustion__sentinel_terminal_exhaustion	3752	0.8975539462516405	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
mechanism__hypoxia__curated_hypoxia	3752	0.8016795055621766	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
mechanism__hypoxia__hallmark_hypoxia	3752	0.7738323904734379	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
mechanism__neutrophil_tan_net__reactome_neutrophil_degranulation	3752	0.725089526905783	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
mechanism__neutrophil_tan_net__sentinel_neutrophil_net	3752	0.7943500311272749	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
mechanism__suppressive_myeloid__curated_myeloid_suppression	3752	0.9366248449344754	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
mechanism__tls_b__reactome_bcr	3752	0.9021857076626526	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
mechanism__tls_b__sentinel_tls_b	3752	0.8522858010523031	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
mechanism__wnt_beta_catenin__hallmark_wnt_beta_catenin	3752	0.6659493535383955	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
mechanism__wnt_beta_catenin__reactome_wnt	3752	0.6953460078531194	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
mechanism__wnt_beta_catenin__sentinel_tumor_wnt	3752	0.6602881008045475	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK
