cohort_id	object_id	cell_state_level	feature_family	feature_id	n_expression_units	n_comparable_units	n_cells_total	n_cells_scoreable	cell_scoreable_fraction	cell_mean_vs_pseudobulk_spearman	comparison_status	estimand_relation
GSE207422_sc	GSE207422_sc::object_1	coarse	legacy_fm	FM01	149	149	92330	92330	1.0	0.9862216578995102	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	legacy_fm	FM02	149	149	92330	92330	1.0	0.9700126972610195	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	legacy_fm	FM03	149	149	92330	92330	1.0	0.9723090876111011	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	legacy_fm	FM04	149	149	92330	92330	1.0	0.9778777435153274	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	legacy_fm	FM05	149	149	92330	92330	1.0	0.9891783058226012	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	legacy_fm	FM06	149	149	92330	92330	1.0	0.9786504625430801	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	legacy_fm	FM07	149	149	92330	92330	1.0	0.9473390168692182	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	legacy_fm	FM08	149	149	92330	92330	1.0	0.9844912026120081	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	mechanism_component	mechanism__angiogenesis_endothelial__curated_angiogenesis	149	149	92330	92330	1.0	0.7884019590059859	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	mechanism_component	mechanism__angiogenesis_endothelial__hallmark_angiogenesis	149	149	92330	92330	1.0	0.8056992563032832	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	mechanism_component	mechanism__angiogenesis_endothelial__reactome_vegf	149	149	92330	92330	1.0	0.17488844549247234	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	mechanism_component	mechanism__apc_ifn_apm__curated_antigen_presentation	149	149	92330	92330	1.0	0.8694794122982042	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	mechanism_component	mechanism__apc_ifn_apm__curated_apc_dc_activation	149	149	92330	92330	1.0	0.7095426050615277	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	mechanism_component	mechanism__apc_ifn_apm__curated_ifn_response	149	149	92330	92330	1.0	0.7960529657173954	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	mechanism_component	mechanism__apc_ifn_apm__hallmark_ifn_alpha	149	149	92330	92330	1.0	0.43675312896789403	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	mechanism_component	mechanism__apc_ifn_apm__hallmark_ifn_gamma	149	149	92330	92330	1.0	0.3915218574278977	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	mechanism_component	mechanism__apc_ifn_apm__reactome_ifn_alpha_beta	149	149	92330	92330	1.0	0.2333139851260657	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	mechanism_component	mechanism__apc_ifn_apm__reactome_ifn_gamma	149	149	92330	92330	1.0	0.4529657173952476	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	mechanism_component	mechanism__apc_ifn_apm__reactome_mhc_i	149	149	92330	92330	1.0	0.07837475058951568	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	mechanism_component	mechanism__apc_ifn_apm__reactome_mhc_ii	149	149	92330	92330	1.0	0.6919789588245964	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	mechanism_component	mechanism__caf_ecm__curated_stromal_tgfb	149	149	92330	92330	1.0	0.8384291674224561	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	mechanism_component	mechanism__caf_ecm__hallmark_emt	149	149	92330	92330	1.0	0.780511518229639	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	mechanism_component	mechanism__caf_ecm__reactome_ecm	149	149	92330	92330	1.0	0.7517721748594233	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	mechanism_component	mechanism__cytotoxic_t_nk__curated_cytotoxicity	149	149	92330	92330	1.0	0.8903863595138762	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	mechanism_component	mechanism__cytotoxic_t_nk__curated_nk_cytotoxicity	149	149	92330	92330	1.0	0.8034427716306911	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	mechanism_component	mechanism__cytotoxic_t_nk__hallmark_allograft_rejection	149	149	92330	92330	1.0	0.40359513876292397	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	mechanism_component	mechanism__exhaustion__curated_broad_exhaustion	149	149	92330	92330	1.0	0.7757042572874532	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	mechanism_component	mechanism__exhaustion__sentinel_progenitor_exhaustion	149	149	92330	92330	1.0	0.8171449301650644	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	mechanism_component	mechanism__exhaustion__sentinel_terminal_exhaustion	149	149	92330	92330	1.0	0.7137493197895882	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	mechanism_component	mechanism__hypoxia__curated_hypoxia	149	149	92330	92330	1.0	0.7688626881915473	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	mechanism_component	mechanism__hypoxia__hallmark_hypoxia	149	149	92330	92330	1.0	0.6599346998004717	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	mechanism_component	mechanism__neutrophil_tan_net__reactome_neutrophil_degranulation	149	149	92330	92330	1.0	0.5488010157808816	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	mechanism_component	mechanism__neutrophil_tan_net__sentinel_neutrophil_net	149	149	92330	92330	1.0	0.830273898059133	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	mechanism_component	mechanism__suppressive_myeloid__curated_myeloid_suppression	149	149	92330	92330	1.0	0.7751859241792128	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	mechanism_component	mechanism__tls_b__reactome_bcr	149	149	92330	92330	1.0	-0.2807509522945764	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	mechanism_component	mechanism__tls_b__sentinel_tls_b	149	149	92330	92330	1.0	0.5096426627970252	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	mechanism_component	mechanism__wnt_beta_catenin__hallmark_wnt_beta_catenin	149	149	92330	92330	1.0	0.269668057319064	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	mechanism_component	mechanism__wnt_beta_catenin__reactome_wnt	149	149	92330	92330	1.0	0.32735715581353164	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	coarse	mechanism_component	mechanism__wnt_beta_catenin__sentinel_tumor_wnt	149	149	92330	92330	1.0	0.7175476147288229	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	mid	legacy_fm	FM01	15	15	92330	92330	1.0	0.9749999999999999	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	mid	legacy_fm	FM02	15	15	92330	92330	1.0	0.6678571428571428	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	mid	legacy_fm	FM03	15	15	92330	92330	1.0	0.7035714285714285	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
GSE207422_sc	GSE207422_sc::object_1	mid	legacy_fm	FM04	15	15	92330	92330	1.0	0.9178571428571428	OBSERVED_RANK_CONCORDANCE	EXPECTED_NON_EQUIVALENCE_LOG_NORMALIZATION_BEFORE_VS_AFTER_AGGREGATION
