feature_id	n_patient_timepoints	n_cohorts	n_platforms	cohort_eta_squared	cohort_status	platform_eta_squared	platform_status	tissue_eta_squared_context_only	library_size_spearman	n_cells_spearman	residualization	status
FM01	1876	44	1	0.6707398802485735	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.2160567205058525	0.09342104841139429	0.12426745381582499	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED
FM02	1876	44	1	0.8305714775724639	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.062230903960118725	0.18555866121285514	0.18973875267149562	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED
FM03	1876	44	1	0.8115027115885071	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.057042592043968804	0.14146939421292873	0.1473810011723782	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED
FM04	1876	44	1	0.7349045413380918	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.0867583429341136	0.08780426784092842	0.09738848536525611	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED
FM05	1876	44	1	0.7201606284825005	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.06611180245797468	-0.08956233683537282	-0.012770202000850201	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED
FM06	1876	44	1	0.832082347539831	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.08121073582061668	0.18174086010756807	0.1600785690882127	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED
FM07	1876	44	1	0.7723585975086263	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.07173225638621718	0.1719766396630575	0.17851538659406782	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED
FM08	1876	44	1	0.6788554715582963	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.08187356694047805	-0.05432621099523019	0.006624028248800492	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED
mechanism__angiogenesis_endothelial__curated_angiogenesis	1876	44	1	0.7242980828940263	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.07062310911582555	0.33936039452914135	0.3043895929063965	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	1876	44	1	0.7672007655568847	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.09258192587715382	0.3009370043106968	0.2985369999911156	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED
