feature_id	n_conditions	n_replicates	n_replicate_pairs	minimum_pairwise_complete_conditions	replicate_profile_median_spearman	repeatability_metric	repeatability_status
FM01	8	3	3	8	0.9761904761904763	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
FM02	8	3	3	8	0.9285714285714287	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
FM03	8	3	3	8	0.9047619047619048	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
FM04	8	3	3	8	0.6428571428571429	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
FM05	8	3	3	8	0.7857142857142858	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
FM06	8	3	3	8	0.9761904761904763	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
FM07	8	3	3	8	0.9761904761904763	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
FM08	8	3	3	8	0.7619047619047621	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
mechanism__angiogenesis_endothelial__curated_angiogenesis	8	3	3	8	0.8333333333333335	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	8	3	3	8	0.9523809523809524	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
mechanism__angiogenesis_endothelial__reactome_vegf	8	3	3	8	0.880952380952381	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
mechanism__apc_ifn_apm__curated_antigen_presentation	8	3	3	8	0.8333333333333335	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
mechanism__apc_ifn_apm__curated_apc_dc_activation	8	3	3	8	0.9761904761904763	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
mechanism__apc_ifn_apm__curated_ifn_response	8	3	3	8	0.8571428571428572	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
mechanism__apc_ifn_apm__hallmark_ifn_alpha	8	3	3	8	0.9047619047619048	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
mechanism__apc_ifn_apm__hallmark_ifn_gamma	8	3	3	8	0.9047619047619048	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
mechanism__apc_ifn_apm__reactome_ifn_alpha_beta	8	3	3	8	0.880952380952381	median_pairwise_spearman_across_condition_profiles	REPEATABILITY_COMPUTED_NO_DIRECTIONAL_CLAIM
