feature_id	n_exact_pairs	n_support_only_pairs	primary_pair_ids	support_only_pair_ids	paired_spearman	paired_diagnostic_status	paired_interpretation
FM01	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
FM02	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
FM03	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
FM04	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
FM05	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
FM06	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
FM07	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
FM08	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
mechanism__angiogenesis_endothelial__curated_angiogenesis	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
mechanism__angiogenesis_endothelial__reactome_vegf	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
mechanism__apc_ifn_apm__curated_antigen_presentation	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
mechanism__apc_ifn_apm__curated_apc_dc_activation	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
mechanism__apc_ifn_apm__curated_ifn_response	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
mechanism__apc_ifn_apm__hallmark_ifn_alpha	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
mechanism__apc_ifn_apm__hallmark_ifn_gamma	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
mechanism__apc_ifn_apm__reactome_ifn_alpha_beta	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
mechanism__apc_ifn_apm__reactome_ifn_gamma	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
mechanism__apc_ifn_apm__reactome_mhc_i	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
mechanism__apc_ifn_apm__reactome_mhc_ii	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
mechanism__caf_ecm__curated_stromal_tgfb	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
mechanism__caf_ecm__hallmark_emt	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
mechanism__caf_ecm__reactome_ecm	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
mechanism__cytotoxic_t_nk__curated_cytotoxicity	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
mechanism__cytotoxic_t_nk__curated_nk_cytotoxicity	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
mechanism__cytotoxic_t_nk__hallmark_allograft_rejection	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
mechanism__exhaustion__curated_broad_exhaustion	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
mechanism__exhaustion__sentinel_progenitor_exhaustion	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
mechanism__exhaustion__sentinel_terminal_exhaustion	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
mechanism__hypoxia__curated_hypoxia	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
mechanism__hypoxia__hallmark_hypoxia	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
mechanism__neutrophil_tan_net__reactome_neutrophil_degranulation	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
mechanism__neutrophil_tan_net__sentinel_neutrophil_net	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
mechanism__suppressive_myeloid__curated_myeloid_suppression	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
mechanism__tls_b__reactome_bcr	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
mechanism__tls_b__sentinel_tls_b	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
mechanism__wnt_beta_catenin__hallmark_wnt_beta_catenin	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
mechanism__wnt_beta_catenin__reactome_wnt	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
mechanism__wnt_beta_catenin__sentinel_tumor_wnt	2	1	P05|P08	P07		paired_descriptive_insufficient_n	response_blind_descriptive_only_no_response_direction
