feature_id	score_standardized	coverage	technical_status	patient_id	pair_id	modality	match_status	bridge_role	sc_timepoint	bulk_timepoint
FM01	-0.022058124262322242	0.972884450159531	valid	P05	P05	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
FM01	-2.340258962903719	0.9973615437634381	valid	P05	P05	scRNA	exact_matched	paired	pre_treatment	pre_treatment
FM02	-0.6719455207827703	0.9843036096482848	valid	P05	P05	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
FM02	-2.2832342875156773	0.9946930748951964	valid	P05	P05	scRNA	exact_matched	paired	pre_treatment	pre_treatment
FM03	-0.8030766404433936	0.9863008045234009	valid	P05	P05	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
FM03	-2.943518874651786	0.995549423805165	valid	P05	P05	scRNA	exact_matched	paired	pre_treatment	pre_treatment
FM04	1.0513195060994005	0.9832873864084688	valid	P05	P05	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
FM04	1.9023422891372943	0.9923088759068495	valid	P05	P05	scRNA	exact_matched	paired	pre_treatment	pre_treatment
FM05	-1.5755954312176395	0.9771386352241985	valid	P05	P05	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
FM05	-1.3831254842746423	0.9896554534128976	valid	P05	P05	scRNA	exact_matched	paired	pre_treatment	pre_treatment
FM06	0.38789614795442506	0.7902585387426505	valid	P05	P05	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
FM06	-0.6611849309618728	0.952140977117625	valid	P05	P05	scRNA	exact_matched	paired	pre_treatment	pre_treatment
FM07	-0.39354322934361713	0.9951794005217456	valid	P05	P05	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
FM07	-0.3017411227291197	0.872438483518863	valid	P05	P05	scRNA	exact_matched	paired	pre_treatment	pre_treatment
FM08	-1.1223179078971457	0.9658477087662072	valid	P05	P05	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
FM08	-1.1138005330347105	0.9646975968797881	valid	P05	P05	scRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__angiogenesis_endothelial__curated_angiogenesis	0.6747776021847007	1.0	valid	P05	P05	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__angiogenesis_endothelial__curated_angiogenesis	-0.523089932312542	1.0	valid	P05	P05	scRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	0.5253458973240658	1.0	valid	P05	P05	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	0.6744907594765953	0.9166666666666666	valid	P05	P05	scRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__angiogenesis_endothelial__reactome_vegf	0.2541219322924506	0.9905660377358491	valid	P05	P05	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__angiogenesis_endothelial__reactome_vegf	-0.6744907594765952	0.9716981132075472	valid	P05	P05	scRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__apc_ifn_apm__curated_antigen_presentation	-0.9599377478586396	1.0	valid	P05	P05	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__apc_ifn_apm__curated_antigen_presentation	-2.7452188224423435	1.0	valid	P05	P05	scRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__apc_ifn_apm__curated_apc_dc_activation	-1.307137713455941	1.0	valid	P05	P05	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__apc_ifn_apm__curated_apc_dc_activation	-2.6832849946214363	1.0	valid	P05	P05	scRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__apc_ifn_apm__curated_ifn_response	-0.23716069700884088	1.0	valid	P05	P05	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__apc_ifn_apm__curated_ifn_response	-0.8399316048338374	1.0	valid	P05	P05	scRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__apc_ifn_apm__hallmark_ifn_alpha	0.679889438904559	0.979381443298969	valid	P05	P05	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__apc_ifn_apm__hallmark_ifn_alpha	-0.23411389092357976	0.9896907216494846	valid	P05	P05	scRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__apc_ifn_apm__hallmark_ifn_gamma	0.05980086472437134	0.98	valid	P05	P05	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__apc_ifn_apm__hallmark_ifn_gamma	-0.6684034960321354	0.98	valid	P05	P05	scRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__apc_ifn_apm__reactome_ifn_alpha_beta	0.23097915870504737	1.0	valid	P05	P05	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__apc_ifn_apm__reactome_ifn_alpha_beta	-0.27715139871369765	0.8205128205128205	valid	P05	P05	scRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__apc_ifn_apm__reactome_ifn_gamma	-0.10602296270096594	0.9693877551020408	valid	P05	P05	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__apc_ifn_apm__reactome_ifn_gamma	-1.5711852091100749	0.9489795918367347	valid	P05	P05	scRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__apc_ifn_apm__reactome_mhc_i	0.66419986399426	0.9785522788203753	valid	P05	P05	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__apc_ifn_apm__reactome_mhc_i	-1.8517944737745322	0.9544235924932976	valid	P05	P05	scRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__apc_ifn_apm__reactome_mhc_ii	-0.07340269083118223	0.9761904761904762	valid	P05	P05	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__apc_ifn_apm__reactome_mhc_ii	-2.5042414341313175	0.9047619047619048	valid	P05	P05	scRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__caf_ecm__curated_stromal_tgfb	0.4138968918491621	1.0	valid	P05	P05	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__caf_ecm__curated_stromal_tgfb	0.0	1.0	valid	P05	P05	scRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__caf_ecm__hallmark_emt	0.46043181853233567	0.985	valid	P05	P05	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__caf_ecm__hallmark_emt	1.3085318924292864	0.96	valid	P05	P05	scRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__caf_ecm__reactome_ecm	0.33802088687326665	0.9968847352024922	valid	P05	P05	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__caf_ecm__reactome_ecm	0.9631818651904958	0.9158878504672897	valid	P05	P05	scRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__cytotoxic_t_nk__curated_cytotoxicity	-1.2632282857613233	1.0	valid	P05	P05	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__cytotoxic_t_nk__curated_cytotoxicity	-0.6744907594765952	1.0	valid	P05	P05	scRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__cytotoxic_t_nk__curated_nk_cytotoxicity	-1.3391367861855012	1.0	valid	P05	P05	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__cytotoxic_t_nk__curated_nk_cytotoxicity	-2.0121184805127372	1.0	valid	P05	P05	scRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__cytotoxic_t_nk__hallmark_allograft_rejection	-1.0303806726953184	0.975	valid	P05	P05	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__cytotoxic_t_nk__hallmark_allograft_rejection	-2.550541857878721	0.945	valid	P05	P05	scRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__exhaustion__curated_broad_exhaustion	0.17278821604580766	1.0	valid	P05	P05	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__exhaustion__curated_broad_exhaustion	0.33657907369553114	0.8888888888888888	valid	P05	P05	scRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__exhaustion__sentinel_progenitor_exhaustion	-0.87407139742601	1.0	valid	P05	P05	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__exhaustion__sentinel_progenitor_exhaustion	-0.6744907594765952	1.0	valid	P05	P05	scRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__exhaustion__sentinel_terminal_exhaustion	-1.0214156473750304	1.0	valid	P05	P05	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__exhaustion__sentinel_terminal_exhaustion	-0.9741357380934654	1.0	valid	P05	P05	scRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__hypoxia__curated_hypoxia	0.7023356915087419	1.0	valid	P05	P05	bulkRNA	exact_matched	paired	pre_treatment	pre_treatment
mechanism__hypoxia__curated_hypoxia	1.7619299999364744	0.8571428571428571	valid	P05	P05	scRNA	exact_matched	paired	pre_treatment	pre_treatment
