input_role	path	exists	bytes	sha256	status
cell_state_ontology	/home/huyudi/006/results/v6_2/phase4a_cell_state_harmonization/annotation/cell_state_ontology_v6_2.yaml	True	7918	917e9c0b5a9da2c72e71147b1c9284e809f3687cc473a6b1ced9129b9ba894d9	PASS
curated_signature_registry	/home/huyudi/006/results/v6_1/step2/step2_v6_1_0505_0319/08_signature_pathway_tf/signature_pathway_tf_feature_v1_tf_rescue_v1/signature_registry_v6_1.csv	True	41040	291b2e98843c53618a139dc01040d5a6999ccccbefba5f05e3bb98212fc01208	PASS
gencode_gene_map	/home/huyudi/006/data/ref/ensembl_to_symbol_gencode_v49.csv	True	2163331	321e065d58317efff748e01e6683ec72f3008d2b80fcb3d44c8fdfb5229ad275	PASS
gse193736_bulk_counts	/home/huyudi/006/data/perturb_seq/GSE193736/GSE193736_bulkRNAseq_counts.csv.gz	True	715132	0ff85625334f53e6a5e4314e209709d0037c066066f9d8b1d56dba441c471d96	PASS
gse207422_bulk_expression	/home/huyudi/006/data/combo/GSE207422/GSE207422_NSCLC_bulk_RNAseq_log2TPM.txt.gz	True	5629640	fab29dc212ace1c45fd9333f2cf9d277eac6236d89945931efceede0f20e74b9	PASS
gse207422_bulk_metadata	/home/huyudi/006/data/combo/GSE207422/GSE207422_NSCLC_bulk_RNAseq_metadata.xlsx	True	12056	c22d003db9315f38c95d7b51f46f2047130d213f6c4daa77f4dd754951930ea5	PASS
gse207422_sc_metadata	/home/huyudi/006/data/combo/GSE207422/GSE207422_NSCLC_scRNAseq_metadata.xlsx	True	11323	d098a750c7ebc595994c929b666177f25c4da6fe3d3e38bb795269a1fb21053e	PASS
hallmark_gmt	/home/huyudi/006/data/pathway/h.all.v2025.1.Hs.symbols.gmt	True	48689	f22066af72e215ccb7b89d88e492c07e1eef17534c2ca7b0f9902cfecbbdd8e9	PASS
legacy_dictionary	/home/huyudi/006/results/v6_2/phase6_module_algorithm_benchmark_strengthened/consensus/module_dictionary.frozen_v1.csv	True	1154	d6972afc0a07d2dadfa4509269dd2fe79f55ab453536a65a965da2c2774ea5da	PASS
legacy_handoff	/home/huyudi/006/results/v6_2/phase6_measurement_foundation_repair_v1/handoff/phase6_to_phase7_module_entry_manifest.yaml	True	1096	6864c5072b6584db9228eb614a76ce1d8d6ce71f8ae0b80139252568a91602c7	PASS
legacy_membership	/home/huyudi/006/results/v6_2/phase6_module_algorithm_benchmark_strengthened/consensus/module_membership.frozen_v1.csv	True	1180769	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	PASS
legacy_score_reference	/home/huyudi/006/results/v6_2/phase6_measurement_foundation_repair_v1/frozen_module_score_matrix.parquet	True	3236260	afd8a7608da35e4e11af93d22427a4da7e0a9fd584b996807b699008348b038d	PASS
marker_coarse_shadow	/home/huyudi/006/results/v6_2/phase4a_cell_state_harmonization/annotation/marker_based_coarse_annotation.csv.gz	True	94408098	cbc10c1a2f4b58352d37f947cede2082696933ef2c5afdd9b874cb1a275e2961	PASS
marker_fine_shadow	/home/huyudi/006/results/v6_2/phase4a_cell_state_harmonization/annotation/marker_based_fine_candidate_annotation.csv.gz	True	77451539	11fb72c7510c5613aef176329e928327e7ce3608c15e99d85c571ef3d6c77952	PASS
marker_mid_shadow	/home/huyudi/006/results/v6_2/phase4a_cell_state_harmonization/annotation/marker_based_mid_annotation.csv.gz	True	82642267	8a93369d569423594390d587d4001a36f820bafb165dc04654523717b089b3ae	PASS
org_hs_gene_map	/home/huyudi/006/results/v6_2/data_interface_repair_v1/gene_reference/ensembl_to_symbol_org_hs_eg_db.csv	True	1556926	87ba2b954fe614655b3ac02de2a60f5765540757f9b67a3f7b2738451d405250	PASS
original_label_mapping	/home/huyudi/006/results/v6_2/phase4a_cell_state_harmonization/annotation/original_to_harmonized_label_map.csv	True	60017	c271d7067eefff379b2a8e344b3697c4508ea6d07dbca45192e87dc0512849cd	PASS
reactome_gmt	/home/huyudi/006/data/pathway/c2.cp.reactome.v2025.1.Hs.symbols.gmt	True	861211	53b9b506bf3be87700cbb3cbbbb7a6faa847fbe62e65421541b14a2b763bab6b	PASS
sentinel_config	/home/huyudi/006/scripts/v6_2/phase7_v6_2_1_config.yaml	True	3644	25f2f2666fba66705bb32e266a67c016bd9112151c1b5b4cda3dafeb75f8370c	PASS
stage1_crosswalk	/home/huyudi/006/results/v7/registry/patient_block_section_crosswalk.tsv	True	413095	0e7f105b656c409b479ac0bdcf297aad95eaf3829e0113ed824383898d2b2576	PASS
stage1_registry	/home/huyudi/006/results/v7/registry/multimodal_logical_units.tsv	True	7600854	d9376a6207c0632e3eee1abb0ec0edecd5a6a32c6ec7e12d631f7a993e573c38	PASS
stage1_roles	/home/huyudi/006/results/v7/registry/data_role_assignment.tsv	True	83679	b82353f968dac6610d40590e9fc1a051ee4c199920ea399192cafdc31ed5e0a3	PASS
v6_projection_config	/home/huyudi/006/results/v6_2/data_interface_repair_v1/configs/frozen_projection_v1.yaml	True	13585	fbde95e4822c37a1548e426608ffdd6eb1518c44d45982347d1dbe0554f4f9f7	PASS
