feature_id	heldout_study_family	n_shared_states	state_profile_spearman	diagnostic_status
FM01	GSE115978	23	0.8047455259016583	PASS
FM01	GSE123813	23	0.7984189723320158	PASS
FM01	GSE140228	21	0.7298701298701298	PASS
FM01	GSE149614	10	0.8389096502784891	PASS
FM01	GSE151530	23	0.9584776257514223	PASS
FM01	GSE161801	8	0.7857142857142858	PASS
FM01	GSE169246	23	0.6648542581927092	PASS
FM01	GSE176021	13	0.8296703296703297	PASS
FM01	GSE179994	4	-0.39999999999999997	PASS
FM01	GSE189903	23	0.5926842048870321	PASS
FM01	GSE200996	3	1.0	PASS
FM01	GSE205506	23	0.7785468079208304	PASS
FM01	GSE206325	8	0.8095238095238096	PASS
FM01	GSE207422_sc	8	0.8571428571428572	PASS
FM01	GSE225063	8	0.5952380952380953	PASS
FM01	GSE232240	13	0.7802197802197801	PASS
FM01	GSE235863_5pt_cd8	2		NOT_TESTABLE
FM01	GSE235863_9pt_cd45	17	0.875	PASS
FM01	GSE243013	15	0.7785714285714285	PASS
FM01	GSE246613	10	0.6606060606060605	PASS
FM01	GSE249974	23	0.717251694154365	PASS
FM01	GSE266919	18	0.8844169246646028	PASS
FM01	GSE272734	2		NOT_TESTABLE
FM01	GSE272735	8	0.8095238095238096	PASS
FM01	GSE272993	8	0.8095238095238096	PASS
FM01	GSE273718	8	0.523809523809524	PASS
FM01	GSE284205	23	0.7572912442760077	PASS
FM01	GSE286827	23	0.8171034117416714	PASS
FM01	GSE288199	8	0.9285714285714287	PASS
FM01	GSE301741	13	0.9285714285714285	PASS
FM01	LAMBRECHT_BRCA	20	0.8961627819088416	PASS
FM01	LAMBRECHT_HCC	23	0.873949686605732	PASS
FM01	PRJCA001063	14	0.7714285714285714	PASS
FM01	TASK01	23	0.9293130151689911	PASS
FM01	TASK02	23	0.9214039682313827	PASS
FM01	bi_2021_rcc	17	0.8152254462896898	PASS
FM01	krishna_2021_rcc	8	0.7619047619047621	PASS
FM01	lambrecht_hnscc	23	0.7974308300395258	PASS
FM01	mendeley_skrx2fz79n	4	0.9486832980505139	PASS
FM02	GSE115978	23	0.698467707677545	PASS
FM02	GSE123813	23	0.83300395256917	PASS
FM02	GSE140228	21	0.8090909090909091	PASS
FM02	GSE149614	10	0.5515151515151515	PASS
FM02	GSE151530	23	0.8863075724457452	PASS
FM02	GSE161801	8	0.5952380952380953	PASS
FM02	GSE169246	23	0.8294612975816847	PASS
FM02	GSE176021	13	0.38461538461538464	PASS
