feature_id	n_profile_genes	observed_coherence_median	observed_coherence_stability_low	observed_coherence_stability_high	observed_coherence_ci_low	observed_coherence_ci_high	matched_null_median	matched_null_permutation_low	matched_null_permutation_high	matched_null_ci_low	matched_null_ci_high	empirical_null_exceedance	null_matching_method	interval_semantics	diagnostic_status
FM01	40	0.9277105969128623	0.857965269700813	0.9753848694015677	0.857965269700813	0.9753848694015677	0.8453974938192956	0.6687773382934827	0.9175155029018628	0.6687773382934827	0.9175155029018628	0.02	exact_observation_mask_nearest_expression_detection	algorithmic_stability_and_permutation_envelopes_not_biological_confidence_intervals	PASS_COMPUTED
FM02	40	0.9156517940115843	0.790585040941688	0.9716166779663	0.790585040941688	0.9716166779663	0.7719282044688103	0.6519219360947299	0.8583353740860448	0.6519219360947299	0.8583353740860448	0.0	exact_observation_mask_nearest_expression_detection	algorithmic_stability_and_permutation_envelopes_not_biological_confidence_intervals	PASS_COMPUTED
FM03	40	0.8755052689410101	0.5222574329181693	0.9416512709164978	0.5222574329181693	0.9416512709164978	0.7978687528127321	0.6853408958076413	0.8738942748850067	0.6853408958076413	0.8738942748850067	0.03	exact_observation_mask_nearest_expression_detection	algorithmic_stability_and_permutation_envelopes_not_biological_confidence_intervals	PASS_COMPUTED
FM04	40	0.9049488009725479	0.7863686242306996	0.9422314608087811	0.7863686242306996	0.9422314608087811	0.7628671163141376	0.4150150134134439	0.8916293096898251	0.4150150134134439	0.8916293096898251	0.01	exact_observation_mask_nearest_expression_detection	algorithmic_stability_and_permutation_envelopes_not_biological_confidence_intervals	PASS_COMPUTED
FM05	40	0.9700237292296183	0.9348753996271122	0.9840859497828719	0.9348753996271122	0.9840859497828719	0.846727002811271	0.7660058548659534	0.9220852425816934	0.7660058548659534	0.9220852425816934	0.0	exact_observation_mask_nearest_expression_detection	algorithmic_stability_and_permutation_envelopes_not_biological_confidence_intervals	PASS_COMPUTED
FM06	40												exact_observation_mask_nearest_expression_detection	algorithmic_stability_and_permutation_envelopes_not_biological_confidence_intervals	NOT_TESTABLE_INSUFFICIENT_EXACT_MASK_NULLS
FM07	40	0.8171543042835352	0.6159545024167579	0.9418120569033941	0.6159545024167579	0.9418120569033941	0.5063531213288368	0.26610302927579094	0.6307149307118185	0.26610302927579094	0.6307149307118185	0.0	exact_observation_mask_nearest_expression_detection	algorithmic_stability_and_permutation_envelopes_not_biological_confidence_intervals	PASS_COMPUTED
FM08	40	0.9736341081374894	0.9535191441112353	0.9870728957842628	0.9535191441112353	0.9870728957842628	0.8673546292453989	0.669072762818752	0.9390692048954687	0.669072762818752	0.9390692048954687	0.0	exact_observation_mask_nearest_expression_detection	algorithmic_stability_and_permutation_envelopes_not_biological_confidence_intervals	PASS_COMPUTED
mechanism__angiogenesis_endothelial__curated_angiogenesis	7	0.6280408189506538	0.5379499751456934	0.7792483576567677	0.5379499751456934	0.7792483576567677	0.61762981069436	0.35007012947535054	0.7412216462006932	0.35007012947535054	0.7412216462006932	0.49	exact_observation_mask_nearest_expression_detection	algorithmic_stability_and_permutation_envelopes_not_biological_confidence_intervals	PASS_COMPUTED
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	36	0.893459265796595	0.7816623976457799	0.9417805323880607	0.7816623976457799	0.9417805323880607	0.8034220354535733	0.5730106898426041	0.9080935302781464	0.5730106898426041	0.9080935302781464	0.05	exact_observation_mask_nearest_expression_detection	algorithmic_stability_and_permutation_envelopes_not_biological_confidence_intervals	PASS_COMPUTED
