feature_id	method_agreement_median_spearman	method_agreement_ci_low	method_agreement_ci_high	method_agreement_status
FM01	0.9915688381646782	0.9871100605768692	0.9932003233535267	PASS
FM02	0.9981917600350578	0.9973050961070407	0.9986263736263734	PASS
FM03	0.9979421384339774	0.9970829827074309	0.999105494056116	PASS
FM04	0.989429175475687	0.9846469543979637	0.9907608612004464	PASS
FM05	0.9928358933883794	0.9904339024573167	0.9940478225753971	PASS
FM06	0.995042077694906	0.9934579628541915	0.9965596098192782	PASS
FM07	0.994247868268082	0.9885683446959932	0.9951163145062984	PASS
FM08	0.9887565643930006	0.9871608384062946	0.9914503139864959	PASS
mechanism__angiogenesis_endothelial__curated_angiogenesis	0.8493050376541667	0.7856647807643068	0.863612989573922	PASS
mechanism__angiogenesis_endothelial__hallmark_angiogenesis	0.8379552269208084	0.7754772134469139	0.900302848603436	PASS
mechanism__angiogenesis_endothelial__reactome_vegf	0.8624493018991157	0.8322218145287582	0.8899032847740584	PASS
mechanism__apc_ifn_apm__curated_antigen_presentation	0.9705444491312016	0.9637773079633545	0.9785390604243762	PASS
mechanism__apc_ifn_apm__curated_apc_dc_activation	0.8231217891222542	0.7869315903229279	0.869920440221447	PASS
mechanism__apc_ifn_apm__curated_ifn_response	0.864110653721694	0.8465288056836008	0.8886281341903884	PASS
mechanism__apc_ifn_apm__hallmark_ifn_alpha	0.8842105263157893	0.8597593833240257	0.9098495128916615	PASS
mechanism__apc_ifn_apm__hallmark_ifn_gamma	0.8865677581912796	0.8752759605452375	0.9019690249206154	PASS
mechanism__apc_ifn_apm__reactome_ifn_alpha_beta	0.8634994088989444	0.8330827067669171	0.8912313084626489	PASS
mechanism__apc_ifn_apm__reactome_ifn_gamma	0.8750915750915751	0.8593856096430439	0.893700112838404	PASS
mechanism__apc_ifn_apm__reactome_mhc_i	0.7876334174818486	0.7754123061021297	0.8137855612086006	PASS
mechanism__apc_ifn_apm__reactome_mhc_ii	0.7846776525007227	0.7449943426647719	0.8232915888645624	PASS
mechanism__caf_ecm__curated_stromal_tgfb	0.8955799311430207	0.8211894448931865	0.9295363486234743	PASS
mechanism__caf_ecm__hallmark_emt	0.8601489350915336	0.7933105986411264	0.8945766695121689	PASS
mechanism__caf_ecm__reactome_ecm	0.7718933028508251	0.6749466830163471	0.8054618261255021	PASS
mechanism__cytotoxic_t_nk__curated_cytotoxicity	0.9608502639386044	0.949950376506089	0.9715844442501675	PASS
mechanism__cytotoxic_t_nk__curated_nk_cytotoxicity	0.9575812703493904	0.9511416428470171	0.9715135771565501	PASS
mechanism__cytotoxic_t_nk__hallmark_allograft_rejection	0.913949996339121	0.8948716482194745	0.9270373045099212	PASS
mechanism__exhaustion__curated_broad_exhaustion	0.882427861912072	0.8472173132465106	0.9089004358701525	PASS
mechanism__exhaustion__sentinel_progenitor_exhaustion	0.9564517226414229	0.9468627472956533	0.9609520658478105	PASS
mechanism__exhaustion__sentinel_terminal_exhaustion	0.9377711197721016	0.9087979297205906	0.9429973903613942	PASS
mechanism__hypoxia__curated_hypoxia	0.7483408749652347	0.692431751390278	0.7733806436156639	PASS
mechanism__hypoxia__hallmark_hypoxia	0.903830437116297	0.8714226851023885	0.925941154883585	PASS
mechanism__neutrophil_tan_net__reactome_neutrophil_degranulation	0.9205580570264144	0.9093104342009973	0.9352880846497115	PASS
mechanism__neutrophil_tan_net__sentinel_neutrophil_net	0.759702128541543	0.6901317932754307	0.8323857732062266	PASS
mechanism__suppressive_myeloid__curated_myeloid_suppression	0.8798679642732817	0.824461056630136	0.9162348880032479	PASS
mechanism__tls_b__reactome_bcr	0.8116195445578633	0.7829544042928666	0.8466165413533834	PASS
mechanism__tls_b__sentinel_tls_b	0.8821256503278477	0.8457223488074855	0.898025738077397	PASS
mechanism__wnt_beta_catenin__hallmark_wnt_beta_catenin	0.8709691843919543	0.8445199059609261	0.8957982372417279	PASS
mechanism__wnt_beta_catenin__reactome_wnt	0.880745504775311	0.8565527908199537	0.893191278807093	PASS
mechanism__wnt_beta_catenin__sentinel_tumor_wnt	0.8774669179032669	0.8538581685713184	0.9053452230080831	PASS
