input_id	normalized_id	resolved_symbol	mapping_source	mapping_status	candidates	n_objects	n_cohorts
5S_rRNA	5S_rRNA	5S_rRNA	exact_symbol	resolved	5S_rRNA	1	1
5S_rRNA-1	5S_rRNA-1	5S_rRNA-1	exact_symbol	resolved	5S_rRNA-1	0	0
5S_rRNA-10	5S_rRNA-10	5S_rRNA-10	exact_symbol	resolved	5S_rRNA-10	0	0
5S_rRNA-11	5S_rRNA-11	5S_rRNA-11	exact_symbol	resolved	5S_rRNA-11	0	0
5S_rRNA-12	5S_rRNA-12	5S_rRNA-12	exact_symbol	resolved	5S_rRNA-12	0	0
5S_rRNA-13	5S_rRNA-13	5S_rRNA-13	exact_symbol	resolved	5S_rRNA-13	0	0
5S_rRNA-14	5S_rRNA-14	5S_rRNA-14	exact_symbol	resolved	5S_rRNA-14	0	0
5S_rRNA-2	5S_rRNA-2	5S_rRNA-2	exact_symbol	resolved	5S_rRNA-2	0	0
5S_rRNA-3	5S_rRNA-3	5S_rRNA-3	exact_symbol	resolved	5S_rRNA-3	0	0
5S_rRNA-4	5S_rRNA-4	5S_rRNA-4	exact_symbol	resolved	5S_rRNA-4	0	0
5S_rRNA-5	5S_rRNA-5	5S_rRNA-5	exact_symbol	resolved	5S_rRNA-5	0	0
5S_rRNA-6	5S_rRNA-6	5S_rRNA-6	exact_symbol	resolved	5S_rRNA-6	0	0
5S_rRNA-7	5S_rRNA-7	5S_rRNA-7	exact_symbol	resolved	5S_rRNA-7	0	0
5S_rRNA-8	5S_rRNA-8	5S_rRNA-8	exact_symbol	resolved	5S_rRNA-8	0	0
5S_rRNA-9	5S_rRNA-9	5S_rRNA-9	exact_symbol	resolved	5S_rRNA-9	0	0
5_8S_rRNA	5_8S_rRNA	5_8S_rRNA	exact_symbol	resolved	5_8S_rRNA	1	1
5_8S_rRNA-1	5_8S_rRNA-1	5_8S_rRNA-1	exact_symbol	resolved	5_8S_rRNA-1	0	0
7SK	7SK	7SK	exact_symbol	resolved	7SK	1	1
7SK-1	7SK-1	7SK-1	exact_symbol	resolved	7SK-1	0	0
7SK-2	7SK-2	7SK-2	exact_symbol	resolved	7SK-2	0	0
7SK-3	7SK-3	7SK-3	exact_symbol	resolved	7SK-3	0	0
7SK-4	7SK-4	7SK-4	exact_symbol	resolved	7SK-4	0	0
7SK-5	7SK-5	7SK-5	exact_symbol	resolved	7SK-5	0	0
A1BG	A1BG	A1BG	exact_symbol	resolved	A1BG	1	1
A1BG-AS1	A1BG-AS1	A1BG-AS1	exact_symbol	resolved	A1BG-AS1	1	1
A1CF	A1CF	A1CF	exact_symbol	resolved	A1CF	1	1
A2M	A2M	A2M	exact_symbol	resolved	A2M	1	1
A2M-AS1	A2M-AS1	A2M-AS1	exact_symbol	resolved	A2M-AS1	1	1
A2ML1	A2ML1	A2ML1	exact_symbol	resolved	A2ML1	1	1
A2ML1-AS1	A2ML1-AS1	A2ML1-AS1	exact_symbol	resolved	A2ML1-AS1	1	1
