sample_id	lineage	perturbation	rest_stim	replicate
CD4_LTBR_rest_1	CD4	LTBR	rest	1
CD4_LTBR_rest_2	CD4	LTBR	rest	2
CD4_LTBR_rest_3	CD4	LTBR	rest	3
CD4_LTBR_stim_1	CD4	LTBR	stim	1
CD4_LTBR_stim_2	CD4	LTBR	stim	2
CD4_LTBR_stim_3	CD4	LTBR	stim	3
CD4_tNGFR_rest_1	CD4	tNGFR	rest	1
CD4_tNGFR_rest_2	CD4	tNGFR	rest	2
CD4_tNGFR_rest_3	CD4	tNGFR	rest	3
CD4_tNGFR_stim_1	CD4	tNGFR	stim	1
CD4_tNGFR_stim_2	CD4	tNGFR	stim	2
CD4_tNGFR_stim_3	CD4	tNGFR	stim	3
CD8_LTBR_rest_1	CD8	LTBR	rest	1
CD8_LTBR_rest_2	CD8	LTBR	rest	2
CD8_LTBR_rest_3	CD8	LTBR	rest	3
CD8_LTBR_stim_1	CD8	LTBR	stim	1
CD8_LTBR_stim_2	CD8	LTBR	stim	2
CD8_LTBR_stim_3	CD8	LTBR	stim	3
CD8_tNGFR_rest_1	CD8	tNGFR	rest	1
CD8_tNGFR_rest_2	CD8	tNGFR	rest	2
CD8_tNGFR_rest_3	CD8	tNGFR	rest	3
CD8_tNGFR_stim_1	CD8	tNGFR	stim	1
CD8_tNGFR_stim_2	CD8	tNGFR	stim	2
CD8_tNGFR_stim_3	CD8	tNGFR	stim	3
