feature_id	feature_family	feature_level	parent_axis_id	feature_name	display_name	component_role	scoring_semantics	signed	scoreable	n_genes	source_resource	source_set	source_sha256	provenance_status	legacy_primary_method	legacy_primary_run	legacy_primary_module_id	support_tier	n_supporting_methods	bootstrap_median_top40_jaccard	leakage_detected	default_for_phase7	notes
FM01	legacy_fm	component		FM01	FM01	legacy_comparability_baseline	weighted_topic_mass_per_million_log1p	False	True	1220	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline_remeasure_only	lda_topic	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	primary_stable_only	1	0.6	False	True	Legacy annotations, if added downstream, remain provisional.
FM02	legacy_fm	component		FM02	FM02	legacy_comparability_baseline	weighted_topic_mass_per_million_log1p	False	True	1220	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline_remeasure_only	lda_topic	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M02	multi_method_supported	3	0.6	False	True	Legacy annotations, if added downstream, remain provisional.
FM03	legacy_fm	component		FM03	FM03	legacy_comparability_baseline	weighted_topic_mass_per_million_log1p	False	True	1220	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline_remeasure_only	lda_topic	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M03	multi_method_supported	2	0.7021276595744681	False	True	Legacy annotations, if added downstream, remain provisional.
FM04	legacy_fm	component		FM04	FM04	legacy_comparability_baseline	weighted_topic_mass_per_million_log1p	False	True	1220	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline_remeasure_only	lda_topic	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M04	multi_method_supported	3	0.8604651162790697	False	True	Legacy annotations, if added downstream, remain provisional.
FM05	legacy_fm	component		FM05	FM05	legacy_comparability_baseline	weighted_topic_mass_per_million_log1p	False	True	1220	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline_remeasure_only	lda_topic	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M05	multi_method_supported	3	0.4814814814814814	False	True	Legacy annotations, if added downstream, remain provisional.
FM06	legacy_fm	component		FM06	FM06	legacy_comparability_baseline	weighted_topic_mass_per_million_log1p	False	True	1220	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline_remeasure_only	lda_topic	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M06	multi_method_supported	3	0.7777777777777778	False	True	Legacy annotations, if added downstream, remain provisional.
FM07	legacy_fm	component		FM07	FM07	legacy_comparability_baseline	weighted_topic_mass_per_million_log1p	False	True	1220	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline_remeasure_only	lda_topic	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M07	multi_method_supported	2	0.6666666666666666	False	True	Legacy annotations, if added downstream, remain provisional.
FM08	legacy_fm	component		FM08	FM08	legacy_comparability_baseline	weighted_topic_mass_per_million_log1p	False	True	1220	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline_remeasure_only	lda_topic	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M08	multi_method_supported	2	0.8181818181818182	False	True	Legacy annotations, if added downstream, remain provisional.
axis__angiogenesis_endothelial	mechanism_axis	parent_axis		angiogenesis_endothelial	VEGF / angiogenesis / endothelial	conceptual_parent	vector_of_explicit_components	False	False	0	v7_stage2_explicit_axis_definition	angiogenesis_endothelial		response_blind_conceptual_parent					0		False	False	Molecular angiogenesis and endothelial activation; not spatial vascular architecture.
axis__apc_ifn_apm	mechanism_axis	parent_axis		apc_ifn_apm	APC / IFN / antigen presentation	conceptual_parent	vector_of_explicit_components	False	False	0	v7_stage2_explicit_axis_definition	apc_ifn_apm		response_blind_conceptual_parent					0		False	False	Antigen presentation and interferon components retained separately.
