duplicate_group_id	member_type	member_id	relation_type	evidence_grade	resolution	leakage_group_id	source_project	claim_impact
006::GSE115978::patient::GSE115978::Mel129	sample_pair	006::GSE115978::Mel129pa__006::GSE115978::Mel129pb	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE115978::patient::GSE115978::Mel129	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE120575::patient::GSE120575::gse120575_2	sample_pair	006::GSE120575::gse120575_Post_P1_2__006::GSE120575::gse120575_Post_P23_2	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE120575::patient::GSE120575::gse120575_2	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE120575::patient::GSE120575::gse120575_2	sample_pair	006::GSE120575::gse120575_Post_P23_2__006::GSE120575::gse120575_Post_P28_2	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE120575::patient::GSE120575::gse120575_2	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE120575::patient::GSE120575::gse120575_2	sample_pair	006::GSE120575::gse120575_Post_P28_2__006::GSE120575::gse120575_Post_P3_2	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE120575::patient::GSE120575::gse120575_2	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE120575::patient::GSE120575::gse120575_2	sample_pair	006::GSE120575::gse120575_Post_P3_2__006::GSE120575::gse120575_Post_P5_2	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE120575::patient::GSE120575::gse120575_2	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE120575::patient::GSE120575::gse120575_P1	sample_pair	006::GSE120575::gse120575_Post_P1__006::GSE120575::gse120575_Pre_P1	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE120575::patient::GSE120575::gse120575_P1	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE120575::patient::GSE120575::gse120575_P12	sample_pair	006::GSE120575::gse120575_Post_P12__006::GSE120575::gse120575_Pre_P12	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE120575::patient::GSE120575::gse120575_P12	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE120575::patient::GSE120575::gse120575_P15	sample_pair	006::GSE120575::gse120575_Post_P15__006::GSE120575::gse120575_Pre_P15	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE120575::patient::GSE120575::gse120575_P15	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE120575::patient::GSE120575::gse120575_P2	sample_pair	006::GSE120575::gse120575_Post_P2__006::GSE120575::gse120575_Pre_P2	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE120575::patient::GSE120575::gse120575_P2	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE120575::patient::GSE120575::gse120575_P20	sample_pair	006::GSE120575::gse120575_Post_P20__006::GSE120575::gse120575_Pre_P20	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE120575::patient::GSE120575::gse120575_P20	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE120575::patient::GSE120575::gse120575_P28	sample_pair	006::GSE120575::gse120575_Post_P28__006::GSE120575::gse120575_Pre_P28	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE120575::patient::GSE120575::gse120575_P28	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
006::GSE120575::patient::GSE120575::gse120575_P3	sample_pair	006::GSE120575::gse120575_Post_P3__006::GSE120575::gse120575_Pre_P3	same_patient_nested_observations	E3_explicit_master	retain_samples_group_patient	006::GSE120575::patient::GSE120575::gse120575_P3	/home/huyudi/006	cannot_count_as_independent_patient_or_cross_split
