unit_id	dataset_id	platform	resolution	n_observations	n_features	nnz	count_total	counts_semantics	coordinate_system	adapter_status	position_join_status	scale_status	image_status	segmentation_status	sanitization_status	sanitization_removed_fields	qc_status
u_06354e16952f7f24	GSE238264	Visium	spot	1320	36601	2320181	6533099	raw_integer_counts	fullres_pixel	PASS	PASS_ONE_TO_ONE_FOR_MATRIX_BARCODES	pixel_scalefactors_available_no_micron_claim	not_loaded	not_applicable	NOT_APPLICABLE	0	PASS
u_35b207a8eaf9e7d7	GSE238264	Visium	spot	2453	36601	5357135	16653210	raw_integer_counts	fullres_pixel	PASS	PASS_ONE_TO_ONE_FOR_MATRIX_BARCODES	pixel_scalefactors_available_no_micron_claim	not_loaded	not_applicable	NOT_APPLICABLE	0	PASS
u_aa6d6e52872d3391	GSE291246	Xenium	cell	59651	480	1768602	4395950	raw_integer_counts	micrometer	PASS	not_applicable	not_provided	not_loaded	native_cell_id	SANITIZED_UNS_ONLY	2	PASS
u_3fe8f2263abf3d56	GSE291246	Xenium	cell	59862	480	1760598	4386732	raw_integer_counts	micrometer	PASS	not_applicable	not_provided	not_loaded	native_cell_id	SANITIZED_UNS_ONLY	2	PASS
u_012abc3165bfcd1d	GSE291246	Xenium	cell	10054	480	423401	1525687	raw_integer_counts	micrometer	PASS	not_applicable	not_provided	not_loaded	native_cell_id	SANITIZED_UNS_ONLY	2	PASS
u_2067c6bfa97cd05c	GSE291246	Xenium	cell	19810	480	114263	130011	raw_integer_counts	micrometer	PASS	not_applicable	not_provided	not_loaded	native_cell_id	SANITIZED_UNS_ONLY	2	PASS
u_ca689ffbe33ebe56	GSE291246	Xenium	cell	26756	480	1107480	3944033	raw_integer_counts	micrometer	PASS	not_applicable	not_provided	not_loaded	native_cell_id	SANITIZED_UNS_ONLY	2	PASS
u_3f30e46885153ac0	HTAN_VANDERBILT_CRC	Visium	Visium	3901	19060	18059667	73508514	raw_integer_counts	array_unit	PASS	not_applicable	not_provided	not_loaded	not_provided	NOT_APPLICABLE	0	PASS
u_7657a4074642a6ce	HTAN_VANDERBILT_CRC	Visium	Visium	3461	19259	2823131	9523570	raw_integer_counts	array_unit	PASS	not_applicable	not_provided	not_loaded	not_provided	NOT_APPLICABLE	0	PASS
u_2430323d543e400c	HTAN_VANDERBILT_CRC	Visium	Visium	2693	19357	4167791	12967666	raw_integer_counts	array_unit	PASS	not_applicable	not_provided	not_loaded	not_provided	NOT_APPLICABLE	0	PASS
u_edfbca2f7d3f32c2	HTAN_VANDERBILT_CRC	Visium	Visium	2551	19379	19300399	92351096	raw_integer_counts	array_unit	PASS	not_applicable	not_provided	not_loaded	not_provided	NOT_APPLICABLE	0	PASS
