unit_id	platform	coordinate_system	native_coordinate_unit	analysis_coordinate_unit	nearest_neighbor_median_native	distance_scale_used	physical_distance_status
u_06354e16952f7f24	Visium	fullres_pixel	fullres_pixel	fullres_pixel	25.0	median_nearest_neighbor	pixel_scalefactors_available_no_micron_claim
u_35b207a8eaf9e7d7	Visium	fullres_pixel	fullres_pixel	fullres_pixel	50.60632371551998	median_nearest_neighbor	pixel_scalefactors_available_no_micron_claim
u_aa6d6e52872d3391	Xenium	micrometer	micrometer	micrometer	6.261547293311628	median_nearest_neighbor	not_provided
u_3fe8f2263abf3d56	Xenium	micrometer	micrometer	micrometer	6.221104616942657	median_nearest_neighbor	not_provided
u_012abc3165bfcd1d	Xenium	micrometer	micrometer	micrometer	6.630275088486521	median_nearest_neighbor	not_provided
u_2067c6bfa97cd05c	Xenium	micrometer	micrometer	micrometer	4.9189610979891505	median_nearest_neighbor	not_provided
u_ca689ffbe33ebe56	Xenium	micrometer	micrometer	micrometer	6.293550865302334	median_nearest_neighbor	not_provided
u_3f30e46885153ac0	Visium	array_unit	array_unit	array_unit	90.0	median_nearest_neighbor	not_provided
u_7657a4074642a6ce	Visium	array_unit	array_unit	array_unit	90.91754506144565	median_nearest_neighbor	not_provided
u_2430323d543e400c	Visium	array_unit	array_unit	array_unit	90.0	median_nearest_neighbor	not_provided
u_edfbca2f7d3f32c2	Visium	array_unit	array_unit	array_unit	90.0	median_nearest_neighbor	not_provided
