unit_id	count_total	nnz	n_observations	n_features	row_total_finite	feature_total_finite	status
u_06354e16952f7f24	6533099	2320181	1320	36601	True	True	PASS
u_35b207a8eaf9e7d7	16653210	5357135	2453	36601	True	True	PASS
u_aa6d6e52872d3391	4395950	1768602	59651	480	True	True	PASS
u_3fe8f2263abf3d56	4386732	1760598	59862	480	True	True	PASS
u_012abc3165bfcd1d	1525687	423401	10054	480	True	True	PASS
u_2067c6bfa97cd05c	130011	114263	19810	480	True	True	PASS
u_ca689ffbe33ebe56	3944033	1107480	26756	480	True	True	PASS
u_3f30e46885153ac0	73508514	18059667	3901	19060	True	True	PASS
u_7657a4074642a6ce	9523570	2823131	3461	19259	True	True	PASS
u_2430323d543e400c	12967666	4167791	2693	19357	True	True	PASS
u_edfbca2f7d3f32c2	92351096	19300399	2551	19379	True	True	PASS
