capture_id	coordinate_locator	coordinate_locator_sha256	coordinate_system	count_key	counts_semantics	dataset_id	image_locator	image_sha256	image_usage	leakage_group_id	matrix_kind	matrix_locator	matrix_locator_sha256	modality	opaque_block_id	opaque_patient_id	opaque_section_id	platform	provenance_hash	qc_status	read_authorization	scale_status	scalefactor_locator	scalefactor_sha256	segmentation_locator	segmentation_sha256	selection_hash	source_registry_row_hash	tissue_mask_locator	tissue_mask_sha256	tissue_mask_source	unit_id
capture_d1aa81a8a5109dbebeea	asset://9fa71be7279e9482fe20df1fe0d8f3647a29dad38f9bf2099458a6b6dbe1f521	9fa71be7279e9482fe20df1fe0d8f3647a29dad38f9bf2099458a6b6dbe1f521	native_coordinates	X	integer_raw_counts	GSE291246			not_available	006::GSE291246::patient::GSE291246::su002	h5ad_counts	asset://9fa71be7279e9482fe20df1fe0d8f3647a29dad38f9bf2099458a6b6dbe1f521	9fa71be7279e9482fe20df1fe0d8f3647a29dad38f9bf2099458a6b6dbe1f521	spatial	BLOCK_UNKNOWN_6602ae58dc7d40531f53	GSE291246::su002	section_471faa5ac80084ea4105	Xenium	4054649581a6c2ac489c479ef676718069566f9fb209344b109d76dcd948f54a	PENDING	LOCAL_QC_XENIUM_COUNTS_COORDINATES	native_micrometer_coordinates			native_observation_id	3ae406b49ef8f98850b6e93741389a4d624901b3d1e1fa563729fcae133c0e3c	2dc35479378a38513fe52571476849b433242cb4ef2f9065f32169ea4bd492b9	33a2f6c45f293e9affcaa75fcd797f06f3475523330619f6b76454ef338095ba			not_provided	u_012abc3165bfcd1d
capture_8acf1ae07afa8789274d	asset://dcd3a3f2ff49d6f429a8826433d955f1ea81549eb4dd0234cd94678e13107c68	dcd3a3f2ff49d6f429a8826433d955f1ea81549eb4dd0234cd94678e13107c68	native_coordinates	matrix/raw_umi	integer_raw_counts	GSE238264	asset://6a79c8a1f9d4cca067e317af92731625d9e1ea27fcf404c753206f0d3b3e958f	6a79c8a1f9d4cca067e317af92731625d9e1ea27fcf404c753206f0d3b3e958f	locator_only_not_feature	006::GSE238264::patient::GSE238264::HCC5	10x_h5	asset://c09d5deb658047c6b316f07e0797f03171cb28a7513c765d3f4d7d0427e00d70	c09d5deb658047c6b316f07e0797f03171cb28a7513c765d3f4d7d0427e00d70	spatial	BLOCK_UNKNOWN_47bd2bb5aebec09d0c1a	GSE238264::HCC5	section_8667dce2ed4b30530789	Visium	d1d761903bde934deb68110b2af1abbc4b90ff4552568b48c2186d56ab676d8b	PENDING	LOCAL_QC_VISIUM_COUNTS_COORDINATES	pixel_scalefactors_available_no_micron_claim	asset://7cabb49c4738124c5c46e5d2187eee7d3dd73b838889f71bec2c23da7d090759	7cabb49c4738124c5c46e5d2187eee7d3dd73b838889f71bec2c23da7d090759			207b527a8a192d2912ce5de1fc7bbf006ab95c1c31e31c40704e24bf0a717858	1186f268c6dbe0fa3563b3a8fb1f8720c06b01e1bd6b59d5e9b606b03570e8ea	visium_positions_in_tissue	dcd3a3f2ff49d6f429a8826433d955f1ea81549eb4dd0234cd94678e13107c68	non_gt_tissue_mask	u_06354e16952f7f24
capture_b57a27ea4acd7cc04f5e	asset://87c8d1292e79015eb9c455207f16c470de2fbe7c728a0257e3e7dcafee56e17b	87c8d1292e79015eb9c455207f16c470de2fbe7c728a0257e3e7dcafee56e17b	native_coordinates	X	integer_raw_counts	GSE291246			not_available	006::GSE291246::patient::GSE291246::su002	h5ad_counts	asset://87c8d1292e79015eb9c455207f16c470de2fbe7c728a0257e3e7dcafee56e17b	87c8d1292e79015eb9c455207f16c470de2fbe7c728a0257e3e7dcafee56e17b	spatial	BLOCK_UNKNOWN_6602ae58dc7d40531f53	GSE291246::su002	section_428542c85c3acf7cd4ef	Xenium	7f53eebda338a78846055bd78738d6550b008be75c55c6c8da53029129182186	PENDING	LOCAL_QC_XENIUM_COUNTS_COORDINATES	native_micrometer_coordinates			native_observation_id	04fbed18d2b6140b7599d7ae82c6cac28b308353439de4c6f6ba395e83681254	2dc35479378a38513fe52571476849b433242cb4ef2f9065f32169ea4bd492b9	544124ed16d085d070a2fc52b08e2ed899ec522dc1688c1d9b731116c97259a3			not_provided	u_2067c6bfa97cd05c
capture_74c57b5a5f777a6f0d42	asset://8d9b26a2527544879878769f90e44ca0b0e96488a77d366f232090b556709ebe	8d9b26a2527544879878769f90e44ca0b0e96488a77d366f232090b556709ebe	native_coordinates	X	integer_raw_counts	HTAN_VANDERBILT_CRC			not_available	LINEAGE::HTAN_VANDERBILT_CRC	h5ad_counts	asset://8d9b26a2527544879878769f90e44ca0b0e96488a77d366f232090b556709ebe	8d9b26a2527544879878769f90e44ca0b0e96488a77d366f232090b556709ebe	spatial	HTAN_VANDERBILT_CRC::BLOCK::af4b3a9c9bb14278	HTAN_VANDERBILT_CRC::PATIENT::0def2e0b01043545	section_e856267f203d2064f3e9	Visium	b89357e760ece561745325b212d1f0f2d6e1a8c3e6122bb3befb95dfa7f28f71	PENDING	HTAN_COUNTS_AND_COORDINATES	not_provided					db09c0171caa9f7280b8031384d8a8aec14af4e17e7f9f10252f92b6a45bd8bb	17cb94eb05241557f8809fc79a645228085f4b6210cada230d7b8637862feea6	visium_positions_in_tissue	8d9b26a2527544879878769f90e44ca0b0e96488a77d366f232090b556709ebe	non_gt_tissue_mask	u_2430323d543e400c
capture_8869a1204ae5eb1c26f0	asset://5c5159799cff8bc64d962ae444c9bad701a3acfd47b62d565eb27c27e76fe4bb	5c5159799cff8bc64d962ae444c9bad701a3acfd47b62d565eb27c27e76fe4bb	native_coordinates	matrix/raw_umi	integer_raw_counts	GSE238264	asset://81fbd5139aacdc21ea3259462afca7058e25afefd1e21c9686e55f5853d2eb75	81fbd5139aacdc21ea3259462afca7058e25afefd1e21c9686e55f5853d2eb75	locator_only_not_feature	006::GSE238264::patient::GSE238264::HCC7	10x_h5	asset://49c3b817280f66ece034858cba9b45c17bd81132cf8b552f04139fd20d01927f	49c3b817280f66ece034858cba9b45c17bd81132cf8b552f04139fd20d01927f	spatial	BLOCK_UNKNOWN_121d095a4b5a268735d7	GSE238264::HCC7	section_0a20db810ea246f0e75a	Visium	4ea8e4bb4547c7c92612beb1a2b59bc1a414b9492b6e141d580cc944a5d3938f	PENDING	LOCAL_QC_VISIUM_COUNTS_COORDINATES	pixel_scalefactors_available_no_micron_claim	asset://d8e8fe72a63327c980bfa641a8598af3453307880bb558b19acabf015b7e2574	d8e8fe72a63327c980bfa641a8598af3453307880bb558b19acabf015b7e2574			230da37e9394f6c1fa536e826ba683e8ee54ee8d64239dd14f9d414943ccab50	4a80375565fb37fc1ce765bf9a19c86dce5ea89c88445956de8ce21d12ab33dc	visium_positions_in_tissue	5c5159799cff8bc64d962ae444c9bad701a3acfd47b62d565eb27c27e76fe4bb	non_gt_tissue_mask	u_35b207a8eaf9e7d7
capture_a20cb80670bba3a1e8d3	asset://84eeeb55fcc06b4d106e4ef90872d5bc082b9ad9d04ff1471e91e6b1ea7f78dc	84eeeb55fcc06b4d106e4ef90872d5bc082b9ad9d04ff1471e91e6b1ea7f78dc	native_coordinates	X	integer_raw_counts	HTAN_VANDERBILT_CRC			not_available	LINEAGE::HTAN_VANDERBILT_CRC	h5ad_counts	asset://84eeeb55fcc06b4d106e4ef90872d5bc082b9ad9d04ff1471e91e6b1ea7f78dc	84eeeb55fcc06b4d106e4ef90872d5bc082b9ad9d04ff1471e91e6b1ea7f78dc	spatial	HTAN_VANDERBILT_CRC::BLOCK::c92024d67e7094bc	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	section_f21a876e24aafe9b2955	Visium	062e3dcfffd4a56db75d76fae12aae143994709aa0528ff3cc1a6512454ac1d3	PENDING	HTAN_COUNTS_AND_COORDINATES	not_provided					06c16bb0bc9ca41f1112b9983e3dbdc50b1412bc965b177d437f352760452e2e	954c826882b785dec86518c8b4b06c592be5ae0d6d9ec270c0c5c5b391329734	visium_positions_in_tissue	84eeeb55fcc06b4d106e4ef90872d5bc082b9ad9d04ff1471e91e6b1ea7f78dc	non_gt_tissue_mask	u_3f30e46885153ac0
capture_084d13dcd9cff748097c	asset://3cc1e2d41f17c6d72e37b646c6492939df5ed1ef3220a3449c8cbd6e3ba8e7c4	3cc1e2d41f17c6d72e37b646c6492939df5ed1ef3220a3449c8cbd6e3ba8e7c4	native_coordinates	X	integer_raw_counts	GSE291246			not_available	006::GSE291246::patient::GSE291246::su001	h5ad_counts	asset://3cc1e2d41f17c6d72e37b646c6492939df5ed1ef3220a3449c8cbd6e3ba8e7c4	3cc1e2d41f17c6d72e37b646c6492939df5ed1ef3220a3449c8cbd6e3ba8e7c4	spatial	BLOCK_UNKNOWN_18d23c8dc2975a5a2bd2	GSE291246::su001	section_d4bcb073498269586851	Xenium	fd6748d85ca45cc9d095a012d6b019c7c920960a19f876e1316149e4400aee57	PENDING	LOCAL_QC_XENIUM_COUNTS_COORDINATES	native_micrometer_coordinates			native_observation_id	12b8d4262757dd2bf379d6b2381ddc6191398f0796e20ca96d45b863bafade1a	46d6a39e34dd934560072761cc307786542649babdc900bc516516698e589ce2	0d39111131ec894d4ff50f71095f7d787262f6dc4c486852088b2e8bcfca0499			not_provided	u_3fe8f2263abf3d56
capture_4f8f8df23ac17990c2af	asset://f5083be328d6d4a996a897565eb8cc41bb3e7f9a204fe7423c1592f920620b68	f5083be328d6d4a996a897565eb8cc41bb3e7f9a204fe7423c1592f920620b68	native_coordinates	X	integer_raw_counts	HTAN_VANDERBILT_CRC			not_available	LINEAGE::HTAN_VANDERBILT_CRC	h5ad_counts	asset://f5083be328d6d4a996a897565eb8cc41bb3e7f9a204fe7423c1592f920620b68	f5083be328d6d4a996a897565eb8cc41bb3e7f9a204fe7423c1592f920620b68	spatial	HTAN_VANDERBILT_CRC::BLOCK::af4b3a9c9bb14278	HTAN_VANDERBILT_CRC::PATIENT::0def2e0b01043545	section_2cc126c0a7d6f5f9d731	Visium	f2d94108d581561e50987c96277de47ba68dc7abc739bcd790cc5966998e355c	PENDING	HTAN_COUNTS_AND_COORDINATES	not_provided					491d43780d640d8a746fb17e8e0371f9bcbc0d9f8daceaef5ff49e5ec45b7e9a	fe6ff1873d9a0cb3855b98af6c957f9e32024202984b4c8e6f38dac20a40f5f0	visium_positions_in_tissue	f5083be328d6d4a996a897565eb8cc41bb3e7f9a204fe7423c1592f920620b68	non_gt_tissue_mask	u_7657a4074642a6ce
capture_cffdc2c1939fb6ae2c10	asset://c126b182a6e30330bb287530cc638dc610126616902a02e930bdfe002e772457	c126b182a6e30330bb287530cc638dc610126616902a02e930bdfe002e772457	native_coordinates	X	integer_raw_counts	GSE291246			not_available	006::GSE291246::patient::GSE291246::su001	h5ad_counts	asset://c126b182a6e30330bb287530cc638dc610126616902a02e930bdfe002e772457	c126b182a6e30330bb287530cc638dc610126616902a02e930bdfe002e772457	spatial	BLOCK_UNKNOWN_18d23c8dc2975a5a2bd2	GSE291246::su001	section_e49cb9b3db539e3cd6e9	Xenium	61ad82e2488e6131e20c680757a9c397dac093154de3b59c1be9b7e70c1e9a9c	PENDING	LOCAL_QC_XENIUM_COUNTS_COORDINATES	native_micrometer_coordinates			native_observation_id	bc85eae226ed3a8be1f94264a4180f4fc059a793f6a3fd0e91673f8bfee42256	46d6a39e34dd934560072761cc307786542649babdc900bc516516698e589ce2	7d7c183ded3fc91c3ea87cd51da6d30de5ac0133c34762e19fb1db4ce6820f30			not_provided	u_aa6d6e52872d3391
capture_f2f1fb1643b56b811731	asset://e18294255f5c23697bc16988bf801cff7669be5d2adb49380d519d813329f0bb	e18294255f5c23697bc16988bf801cff7669be5d2adb49380d519d813329f0bb	native_coordinates	X	integer_raw_counts	GSE291246			not_available	006::GSE291246::patient::GSE291246::su002	h5ad_counts	asset://e18294255f5c23697bc16988bf801cff7669be5d2adb49380d519d813329f0bb	e18294255f5c23697bc16988bf801cff7669be5d2adb49380d519d813329f0bb	spatial	BLOCK_UNKNOWN_6602ae58dc7d40531f53	GSE291246::su002	section_275be10f4e700604d69b	Xenium	ebbe8ce3405e40fff6a965e430a1e08221f3707455369322b2ebf35c42d97c8b	PENDING	LOCAL_QC_XENIUM_COUNTS_COORDINATES	native_micrometer_coordinates			native_observation_id	2f8376f85182a0da240aa112d70c003885e3ce8535c86861d3688f5a1669af69	2dc35479378a38513fe52571476849b433242cb4ef2f9065f32169ea4bd492b9	b80a299cca3d86e63e65186c81a41f8bd2b52face3a1bc85ff852e9ab81443a2			not_provided	u_ca689ffbe33ebe56
capture_2483589f19845378a3ef	asset://6a0d31acc4c457a30885bdf83413490e84f0b857a2f46f9d2b49c52a19412ff0	6a0d31acc4c457a30885bdf83413490e84f0b857a2f46f9d2b49c52a19412ff0	native_coordinates	X	integer_raw_counts	HTAN_VANDERBILT_CRC			not_available	LINEAGE::HTAN_VANDERBILT_CRC	h5ad_counts	asset://6a0d31acc4c457a30885bdf83413490e84f0b857a2f46f9d2b49c52a19412ff0	6a0d31acc4c457a30885bdf83413490e84f0b857a2f46f9d2b49c52a19412ff0	spatial	HTAN_VANDERBILT_CRC::BLOCK::32a452c0ae678140	HTAN_VANDERBILT_CRC::PATIENT::7032fa6644896b13	section_e39c34541ed20ce3c52b	Visium	fafd446d457675054144f672296a1fef2d8d6071926df77ea9dcecddb85f6da8	PENDING	HTAN_COUNTS_AND_COORDINATES	not_provided					920a218605d4f12911ac28e8a569e313e8d77f8fda5f546b13e2ca08dd6ea19a	015eefb23ffadbc637b0fad338abb58acf56e6c1847a50b5907ecc762befde7e	visium_positions_in_tissue	6a0d31acc4c457a30885bdf83413490e84f0b857a2f46f9d2b49c52a19412ff0	non_gt_tissue_mask	u_edfbca2f7d3f32c2
