cohort_id	feature_id	statistic	n_patients	ci_low	ci_high	status
GSE238264	FM01	moran	2	0.1816495775262437	0.19538302464333857	ESTIMABLE
GSE238264	FM02	moran	2	0.27120848217675625	0.29391671644752865	ESTIMABLE
GSE238264	FM03	moran	2	0.24520326913640936	0.2752164990980429	ESTIMABLE
GSE238264	FM04	moran	2	0.14314262590932467	0.4943248459942003	ESTIMABLE
GSE238264	FM05	moran	2	0.23737141945991203	0.34793157017005344	ESTIMABLE
GSE238264	FM06	moran	2	0.15159870091388783	0.18300434147750197	ESTIMABLE
GSE238264	FM07	moran	2	0.28639540064929375	0.6854227630418228	ESTIMABLE
GSE238264	FM08	moran	2	0.25518955488881484	0.39687541589682523	ESTIMABLE
GSE238264	mechanism__angiogenesis_endothelial__curated_angiogenesis	moran	2	0.07564083757140096	0.12988796991610693	ESTIMABLE
GSE238264	mechanism__angiogenesis_endothelial__hallmark_angiogenesis	moran	2	0.2222844460768361	0.44576409416120555	ESTIMABLE
GSE238264	mechanism__angiogenesis_endothelial__reactome_vegf	moran	2	0.4319571078544547	0.6331005700357583	ESTIMABLE
GSE238264	mechanism__apc_ifn_apm__curated_antigen_presentation	moran	2	0.1870663476153786	0.35943709386221334	ESTIMABLE
GSE238264	mechanism__apc_ifn_apm__curated_apc_dc_activation	moran	2	-0.03043638895495288	-0.0038661618050284635	ESTIMABLE
GSE238264	mechanism__apc_ifn_apm__curated_ifn_response	moran	2	0.006107137875242247	0.04281873883900615	ESTIMABLE
GSE238264	mechanism__apc_ifn_apm__hallmark_ifn_alpha	moran	2	0.3762173111608565	0.6692530089496906	ESTIMABLE
GSE238264	mechanism__apc_ifn_apm__hallmark_ifn_gamma	moran	2	0.4567590824744888	0.7379327301352749	ESTIMABLE
GSE238264	mechanism__apc_ifn_apm__reactome_ifn_alpha_beta	moran	2	0.3484038248906703	0.7262060059573842	ESTIMABLE
GSE238264	mechanism__apc_ifn_apm__reactome_ifn_gamma	moran	2	0.36600261286147767	0.6337014523484472	ESTIMABLE
GSE238264	mechanism__apc_ifn_apm__reactome_mhc_i	moran	2	0.5669827769613864	0.7659127746910043	ESTIMABLE
GSE238264	mechanism__apc_ifn_apm__reactome_mhc_ii	moran	2	0.454384833258042	0.6673118876846289	ESTIMABLE
GSE238264	mechanism__caf_ecm__curated_stromal_tgfb	moran	2	0.22272105283452298	0.36341222138893065	ESTIMABLE
GSE238264	mechanism__caf_ecm__hallmark_emt	moran	2	0.43820732393056394	0.6848596863185922	ESTIMABLE
GSE238264	mechanism__caf_ecm__reactome_ecm	moran	2	0.458850961818188	0.7518120624094358	ESTIMABLE
GSE238264	mechanism__cytotoxic_t_nk__curated_cytotoxicity	moran	2	-0.007249267049716996	0.051120565608853794	ESTIMABLE
