unit_id	source_sha256	sanitized_sha256	removed_field_count	removed_field_names_hash	status
u_012abc3165bfcd1d	9fa71be7279e9482fe20df1fe0d8f3647a29dad38f9bf2099458a6b6dbe1f521	aa42b92ea73b5a3c1d6367311de3e7c05a1cdb7f5d7c401b0014507cfcd02c49	2	7af006623965f83648b1916c64b70ab7cfb538e804d7ade2f6e354ebfe687c05	SANITIZED_UNS_ONLY
u_06354e16952f7f24	c09d5deb658047c6b316f07e0797f03171cb28a7513c765d3f4d7d0427e00d70		0	01f2f9c28aa1d4d36a81ff042620b6677d25bf07c2bf4acc37b58658778a4fca	NOT_APPLICABLE
u_2067c6bfa97cd05c	87c8d1292e79015eb9c455207f16c470de2fbe7c728a0257e3e7dcafee56e17b	c58d074bbaf58b741a33095efdaebf32a50517d55cff9d03734d4fd72ede5af0	2	7af006623965f83648b1916c64b70ab7cfb538e804d7ade2f6e354ebfe687c05	SANITIZED_UNS_ONLY
u_2430323d543e400c	8d9b26a2527544879878769f90e44ca0b0e96488a77d366f232090b556709ebe		0	01f2f9c28aa1d4d36a81ff042620b6677d25bf07c2bf4acc37b58658778a4fca	NOT_APPLICABLE
u_35b207a8eaf9e7d7	49c3b817280f66ece034858cba9b45c17bd81132cf8b552f04139fd20d01927f		0	01f2f9c28aa1d4d36a81ff042620b6677d25bf07c2bf4acc37b58658778a4fca	NOT_APPLICABLE
u_3f30e46885153ac0	84eeeb55fcc06b4d106e4ef90872d5bc082b9ad9d04ff1471e91e6b1ea7f78dc		0	01f2f9c28aa1d4d36a81ff042620b6677d25bf07c2bf4acc37b58658778a4fca	NOT_APPLICABLE
u_3fe8f2263abf3d56	3cc1e2d41f17c6d72e37b646c6492939df5ed1ef3220a3449c8cbd6e3ba8e7c4	f2517e460b4ad396c78cd200a5e73149d94944f9e7c29017dd261182754570f5	2	7af006623965f83648b1916c64b70ab7cfb538e804d7ade2f6e354ebfe687c05	SANITIZED_UNS_ONLY
u_7657a4074642a6ce	f5083be328d6d4a996a897565eb8cc41bb3e7f9a204fe7423c1592f920620b68		0	01f2f9c28aa1d4d36a81ff042620b6677d25bf07c2bf4acc37b58658778a4fca	NOT_APPLICABLE
u_aa6d6e52872d3391	c126b182a6e30330bb287530cc638dc610126616902a02e930bdfe002e772457	e062c5381ef985df3db34850bdc6a5eec6de83ac3e9a6cf9ae9024f91a00786c	2	7af006623965f83648b1916c64b70ab7cfb538e804d7ade2f6e354ebfe687c05	SANITIZED_UNS_ONLY
u_ca689ffbe33ebe56	e18294255f5c23697bc16988bf801cff7669be5d2adb49380d519d813329f0bb	9e06b0b248b8e81dc01387aed413945cfc3034eb2486939aee1f8e0a8f66a9a4	2	7af006623965f83648b1916c64b70ab7cfb538e804d7ade2f6e354ebfe687c05	SANITIZED_UNS_ONLY
u_edfbca2f7d3f32c2	6a0d31acc4c457a30885bdf83413490e84f0b857a2f46f9d2b49c52a19412ff0		0	01f2f9c28aa1d4d36a81ff042620b6677d25bf07c2bf4acc37b58658778a4fca	NOT_APPLICABLE
