unit_id	source_id	source_record_id_hash	physical_unit_id_hash	matrix_locator	matrix_sha256	coordinate_locator	coordinate_sha256	status
u_06354e16952f7f24	006_GSE238264	cb97dc3d9087e8ebced31eb91c3cecbbcefc8b90f252c7f8b0728489fce265aa	06354e16952f7f24e589656fd33b75aa863439440364dac730a2aa28962fc380	asset://c09d5deb658047c6b316f07e0797f03171cb28a7513c765d3f4d7d0427e00d70	c09d5deb658047c6b316f07e0797f03171cb28a7513c765d3f4d7d0427e00d70	asset://dcd3a3f2ff49d6f429a8826433d955f1ea81549eb4dd0234cd94678e13107c68	dcd3a3f2ff49d6f429a8826433d955f1ea81549eb4dd0234cd94678e13107c68	PASS
u_35b207a8eaf9e7d7	006_GSE238264	e812d349b99afe33be2148362563141e7175aa69e826db33d373a08fb98409e6	35b207a8eaf9e7d7e689274cef913625cdb0f1b00b2f7a96a777faf61b5be9c7	asset://49c3b817280f66ece034858cba9b45c17bd81132cf8b552f04139fd20d01927f	49c3b817280f66ece034858cba9b45c17bd81132cf8b552f04139fd20d01927f	asset://5c5159799cff8bc64d962ae444c9bad701a3acfd47b62d565eb27c27e76fe4bb	5c5159799cff8bc64d962ae444c9bad701a3acfd47b62d565eb27c27e76fe4bb	PASS
u_aa6d6e52872d3391	006_GSE291246	fc561c038fa8108c4950c4efcf0e90b42287c8148042c3779a0fb5dacddd3a52	aa6d6e52872d3391bd9b9171cd8762d135f1e160fd82c4dac807aa24099520fa	asset://c126b182a6e30330bb287530cc638dc610126616902a02e930bdfe002e772457	c126b182a6e30330bb287530cc638dc610126616902a02e930bdfe002e772457	in_matrix_obsm/spatial	c126b182a6e30330bb287530cc638dc610126616902a02e930bdfe002e772457	PASS
u_3fe8f2263abf3d56	006_GSE291246	5520753e352832efff02471a4df4cfa11d4e94bc079d70cd6f3b26eb0f702976	3fe8f2263abf3d56ebe79b3d24ff89c71206b293399d878eacf33230fc4efdda	asset://3cc1e2d41f17c6d72e37b646c6492939df5ed1ef3220a3449c8cbd6e3ba8e7c4	3cc1e2d41f17c6d72e37b646c6492939df5ed1ef3220a3449c8cbd6e3ba8e7c4	in_matrix_obsm/spatial	3cc1e2d41f17c6d72e37b646c6492939df5ed1ef3220a3449c8cbd6e3ba8e7c4	PASS
u_012abc3165bfcd1d	006_GSE291246	ea4ae685e49584c7e436eccb097165daa3f56a707c459faeadab22d6e849769f	012abc3165bfcd1d9f0daf1776c286230a4d3a49326374013aedafa3c00d4271	asset://9fa71be7279e9482fe20df1fe0d8f3647a29dad38f9bf2099458a6b6dbe1f521	9fa71be7279e9482fe20df1fe0d8f3647a29dad38f9bf2099458a6b6dbe1f521	in_matrix_obsm/spatial	9fa71be7279e9482fe20df1fe0d8f3647a29dad38f9bf2099458a6b6dbe1f521	PASS
u_2067c6bfa97cd05c	006_GSE291246	18db61e60835da170e52bcf2db4235ce0058d74db7ef83ea1c72a2695d19f72a	2067c6bfa97cd05c6d0aac1b702161d16878cc298b5f9f4cf997d18c57488882	asset://87c8d1292e79015eb9c455207f16c470de2fbe7c728a0257e3e7dcafee56e17b	87c8d1292e79015eb9c455207f16c470de2fbe7c728a0257e3e7dcafee56e17b	in_matrix_obsm/spatial	87c8d1292e79015eb9c455207f16c470de2fbe7c728a0257e3e7dcafee56e17b	PASS
u_ca689ffbe33ebe56	006_GSE291246	672e8e8def294fa2419fcce4e9bf81e4cd16f50e7134e5faa09b8be4b9bd6ce9	ca689ffbe33ebe56bf05ef424a10059307dfdeb8a82d3c0094f5d75c391345af	asset://e18294255f5c23697bc16988bf801cff7669be5d2adb49380d519d813329f0bb	e18294255f5c23697bc16988bf801cff7669be5d2adb49380d519d813329f0bb	in_matrix_obsm/spatial	e18294255f5c23697bc16988bf801cff7669be5d2adb49380d519d813329f0bb	PASS
u_3f30e46885153ac0	013_HTAN_CRC	6376e2da69fe85cbebbd5afa353c5531b94ec341b2765a81e1792b36d9151682	3f30e46885153ac0bf70a0a09e24c8dd130ffe9e70d1211b29ff24441888826f	asset://84eeeb55fcc06b4d106e4ef90872d5bc082b9ad9d04ff1471e91e6b1ea7f78dc	84eeeb55fcc06b4d106e4ef90872d5bc082b9ad9d04ff1471e91e6b1ea7f78dc	in_matrix_obsm/spatial	84eeeb55fcc06b4d106e4ef90872d5bc082b9ad9d04ff1471e91e6b1ea7f78dc	PASS
u_7657a4074642a6ce	013_HTAN_CRC	4fd11dd98f1b931e66e5c27d8b277d4606fc67612e66f6860620a5f91a4194bf	7657a4074642a6cea6576b1ad8d8556feef922d1434e57ae8f1a3dda8a8a56ec	asset://f5083be328d6d4a996a897565eb8cc41bb3e7f9a204fe7423c1592f920620b68	f5083be328d6d4a996a897565eb8cc41bb3e7f9a204fe7423c1592f920620b68	in_matrix_obsm/spatial	f5083be328d6d4a996a897565eb8cc41bb3e7f9a204fe7423c1592f920620b68	PASS
u_2430323d543e400c	013_HTAN_CRC	002491cc27599072f616b669e81a7e8e886064ad3d696c65dffe721487edbe23	2430323d543e400cd40ff07bb26a1b9c2b243cdf12c4718bd131ae80a1a1417c	asset://8d9b26a2527544879878769f90e44ca0b0e96488a77d366f232090b556709ebe	8d9b26a2527544879878769f90e44ca0b0e96488a77d366f232090b556709ebe	in_matrix_obsm/spatial	8d9b26a2527544879878769f90e44ca0b0e96488a77d366f232090b556709ebe	PASS
