dataset_id	platform	feature_id	spatial_projection_status	n_units	median_coverage	min_coverage	max_coverage	n_finite_score_rows
GSE238264	Visium	FM01	limited_with_uncertainty	2	0.9992702737004832	0.9992702737004832	0.9992702737004832	3773
GSE238264	Visium	FM02	limited_with_uncertainty	2	0.9960517459897216	0.9960517459897216	0.9960517459897216	3773
GSE238264	Visium	FM03	limited_with_uncertainty	2	0.9979156569089574	0.9979156569089574	0.9979156569089574	3773
GSE238264	Visium	FM04	limited_with_uncertainty	2	0.9928665759571288	0.9928665759571288	0.9928665759571288	3773
GSE238264	Visium	FM05	limited_with_uncertainty	2	0.9948707715029506	0.9948707715029506	0.9948707715029506	3773
GSE238264	Visium	FM06	limited_with_uncertainty	2	0.9987293289745776	0.9987293289745776	0.9987293289745776	3773
GSE238264	Visium	FM07	limited_with_uncertainty	2	0.9991600451048754	0.9991600451048754	0.9991600451048754	3773
GSE238264	Visium	FM08	limited_with_uncertainty	2	0.9966070178912358	0.9966070178912358	0.9966070178912358	3773
GSE238264	Visium	mechanism__angiogenesis_endothelial__curated_angiogenesis	measurable	2	1.0	1.0	1.0	3773
GSE238264	Visium	mechanism__angiogenesis_endothelial__hallmark_angiogenesis	measurable	2	1.0	1.0	1.0	3773
GSE238264	Visium	mechanism__angiogenesis_endothelial__reactome_vegf	measurable	2	1.0	1.0	1.0	3773
GSE238264	Visium	mechanism__apc_ifn_apm__curated_antigen_presentation	measurable	2	1.0	1.0	1.0	3773
GSE238264	Visium	mechanism__apc_ifn_apm__curated_apc_dc_activation	measurable	2	1.0	1.0	1.0	3773
GSE238264	Visium	mechanism__apc_ifn_apm__curated_ifn_response	measurable	2	1.0	1.0	1.0	3773
GSE238264	Visium	mechanism__apc_ifn_apm__hallmark_ifn_alpha	limited_with_uncertainty	2	0.9896907216494846	0.9896907216494846	0.9896907216494846	3773
GSE238264	Visium	mechanism__apc_ifn_apm__hallmark_ifn_gamma	limited_with_uncertainty	2	0.98	0.98	0.98	3773
GSE238264	Visium	mechanism__apc_ifn_apm__reactome_ifn_alpha_beta	limited_with_uncertainty	2	0.9871794871794872	0.9871794871794872	0.9871794871794872	3773
GSE238264	Visium	mechanism__apc_ifn_apm__reactome_ifn_gamma	limited_with_uncertainty	2	0.9591836734693876	0.9591836734693876	0.9591836734693876	3773
GSE238264	Visium	mechanism__apc_ifn_apm__reactome_mhc_i	limited_with_uncertainty	2	0.9973190348525468	0.9973190348525468	0.9973190348525468	3773
GSE238264	Visium	mechanism__apc_ifn_apm__reactome_mhc_ii	limited_with_uncertainty	2	0.9761904761904762	0.9761904761904762	0.9761904761904762	3773
GSE238264	Visium	mechanism__caf_ecm__curated_stromal_tgfb	measurable	2	1.0	1.0	1.0	3773
GSE238264	Visium	mechanism__caf_ecm__hallmark_emt	measurable	2	1.0	1.0	1.0	3773
GSE238264	Visium	mechanism__caf_ecm__reactome_ecm	measurable	2	1.0	1.0	1.0	3773
GSE238264	Visium	mechanism__cytotoxic_t_nk__curated_cytotoxicity	measurable	2	1.0	1.0	1.0	3773
GSE238264	Visium	mechanism__cytotoxic_t_nk__curated_nk_cytotoxicity	measurable	2	1.0	1.0	1.0	3773
GSE238264	Visium	mechanism__cytotoxic_t_nk__hallmark_allograft_rejection	limited_with_uncertainty	2	0.98	0.98	0.98	3773
GSE238264	Visium	mechanism__exhaustion__curated_broad_exhaustion	measurable	2	1.0	1.0	1.0	3773
GSE238264	Visium	mechanism__exhaustion__sentinel_progenitor_exhaustion	measurable	2	1.0	1.0	1.0	3773
GSE238264	Visium	mechanism__exhaustion__sentinel_terminal_exhaustion	measurable	2	1.0	1.0	1.0	3773
GSE238264	Visium	mechanism__hypoxia__curated_hypoxia	measurable	2	1.0	1.0	1.0	3773
