physical_unit_id	source_id	dataset_id	opaque_patient_id	technical_eligibility	technical_reasons	technical_row_hash
006::GSE238264::section::HCC1R	006_GSE238264	GSE238264	GSE238264::HCC1	eligible		2c0748d5b580acbb5a72ad6c0a81ca5c129ece03a4c6fb9aac0fcb29c2d12094
006::GSE238264::section::HCC2R	006_GSE238264	GSE238264	GSE238264::HCC2	eligible		2610d87c179d95995992b4d1c9e0f07a41c951036ae28149d24e3a7060af3d5e
006::GSE238264::section::HCC3R	006_GSE238264	GSE238264	GSE238264::HCC3	eligible		36e85310c64beb6e09938fd28b50d46940a499cf48f970e8b8331db0153c9ea4
006::GSE238264::section::HCC4R	006_GSE238264	GSE238264	GSE238264::HCC4	eligible		715ec7ef5e7dd2ce62eba9a114bae85334681b2e7e547e88e14050a6ec82fac0
006::GSE238264::section::HCC5NR	006_GSE238264	GSE238264	GSE238264::HCC5	eligible		71b6d1b5154c2634309b7fed04b7d48b6caa0ea3afecb0459e5fdd5091eced9e
006::GSE238264::section::HCC6NR	006_GSE238264	GSE238264	GSE238264::HCC6	eligible		7e88e9d789353e4b024a876284f62e428ddeca4fd5c2f2a5555399954ed76d91
006::GSE238264::section::HCC7NR	006_GSE238264	GSE238264	GSE238264::HCC7	eligible		c510c8e318bdafaa5ef20b2ce1713627b03fdf66c57596f5b36020167f6e13c9
006::GSE291246::section::su001_Post_Node_1_rep_1	006_GSE291246	GSE291246	GSE291246::su001	ineligible	counts_not_technically_available|observation_count_unavailable	36212d07e3112939c86515d9f2002d7f4620699ac2a2960fab2441fdc5ed129b
006::GSE291246::section::su001_Post_Node_1_rep_2	006_GSE291246	GSE291246	GSE291246::su001	ineligible	counts_not_technically_available|observation_count_unavailable	d67045f0e48bdc4fd72cbdbc590a46e5026f42c9a84b3acc077794952655f149
006::GSE291246::section::su001_Post_Peri_1_rep_1	006_GSE291246	GSE291246	GSE291246::su001	ineligible	counts_not_technically_available|observation_count_unavailable	52533091980aec276bad5e60a78a37ef177508e70d46d695e1b7b3c9e41aafb1
006::GSE291246::section::su001_Post_Peri_1_rep_2	006_GSE291246	GSE291246	GSE291246::su001	ineligible	counts_not_technically_available|observation_count_unavailable	7d1c9cc1f2120fb5d0885f30e3b394305fe1d241bf43e6d9e2a698395fa0be5d
006::GSE291246::section::su001_Post_Tumor_1_rep_1	006_GSE291246	GSE291246	GSE291246::su001	eligible		3cdf580ccdc0fd407c97f70acb5aa43a13e2cd555de855460de16631962a6e09
006::GSE291246::section::su001_Post_Tumor_1_rep_2	006_GSE291246	GSE291246	GSE291246::su001	eligible		2ab74f68d1c668e405653f5c229d04dc28942bb558721f6d9015d2ba44210c1b
006::GSE291246::section::su001_Post_Tumor_2_rep_1	006_GSE291246	GSE291246	GSE291246::su001	ineligible	counts_not_technically_available|observation_count_unavailable	dfb8f321ffec074e3df7e054cd576c0b3d5ca2b52608e84fd4f0fb558858fbae
006::GSE291246::section::su001_Post_Tumor_2_rep_2	006_GSE291246	GSE291246	GSE291246::su001	ineligible	counts_not_technically_available|observation_count_unavailable	ec207b7de6efdd9a19b66a6c8b95606ea956c785468cf216f4661519b409ae8e
006::GSE291246::section::su001_Post_Tumor_3_rep_1	006_GSE291246	GSE291246	GSE291246::su001	ineligible	counts_not_technically_available|observation_count_unavailable	35d5b9efd0fb7acb6205b71aa577ec1dbf407685d32835d17af85005659e3573
006::GSE291246::section::su001_Post_Tumor_3_rep_2	006_GSE291246	GSE291246	GSE291246::su001	ineligible	counts_not_technically_available|observation_count_unavailable	f35e3dc5b3a297a30f8f76e5e0b2b0306243a3513ea5d941c8fb814d9f0fdf58
006::GSE291246::section::su001_Post_Tumor_4_rep_1	006_GSE291246	GSE291246	GSE291246::su001	ineligible	counts_not_technically_available|observation_count_unavailable	45cb661975ac488010415d36cf370ada6d610e842814ff642c088727e52296fd
006::GSE291246::section::su001_Post_Tumor_4_rep_2	006_GSE291246	GSE291246	GSE291246::su001	ineligible	counts_not_technically_available|observation_count_unavailable	ee052eff2eb339c7190840d7d010dc9dd0b3eae81f02bdd6f2c94b3e4714ab23
006::GSE291246::section::su001_Post_Tumor_5_rep_1	006_GSE291246	GSE291246	GSE291246::su001	ineligible	counts_not_technically_available|observation_count_unavailable	0e7cfb5cd809d97e8aa96ca77944a04d2e853e87065558f902f49a0e9ff2976f
006::GSE291246::section::su001_Post_Tumor_5_rep_2	006_GSE291246	GSE291246	GSE291246::su001	ineligible	counts_not_technically_available|observation_count_unavailable	ec815cff51a1e6dbec04a91573e35fa7f5127d84e83450d9cbfcdeff703dbe0b
006::GSE291246::section::su001_Post_Tumor_6_rep_1	006_GSE291246	GSE291246	GSE291246::su001	ineligible	counts_not_technically_available|observation_count_unavailable	4950e873f37c0fa36e393de11f899332634b9756d3503203b20018a04c030018
006::GSE291246::section::su001_Post_Tumor_6_rep_2	006_GSE291246	GSE291246	GSE291246::su001	ineligible	counts_not_technically_available|observation_count_unavailable	866eb499be89da6adf5c838e84aa374d6a851f2cdafce1b700e84573564f4dd7
006::GSE291246::section::su001_Pre_Tumor_1_rep_1	006_GSE291246	GSE291246	GSE291246::su001	ineligible	counts_not_technically_available|observation_count_unavailable	770b2ebf3493eab0d6a38c5bb159e7737ce70fe2b2755296fbb13cb8ed33510a
006::GSE291246::section::su001_Pre_Tumor_1_rep_2	006_GSE291246	GSE291246	GSE291246::su001	ineligible	counts_not_technically_available|observation_count_unavailable	473692b185ff6aa462d288b3c612295a9ca974d907b7c082199aaa2c327443e0
006::GSE291246::section::su001_Pre_Tumor_2_rep_1	006_GSE291246	GSE291246	GSE291246::su001	ineligible	counts_not_technically_available|observation_count_unavailable	05749e21adda5865fb12c2860332a4873d722f2eb3ff2f9389cba2232c5b310f
006::GSE291246::section::su001_Pre_Tumor_2_rep_2	006_GSE291246	GSE291246	GSE291246::su001	ineligible	counts_not_technically_available|observation_count_unavailable	71a0f2f6e77eccf3274a3e4fdbbdc86a76f8835a8fed41be59fe4fcfd54b8096
006::GSE291246::section::su002_Post_Tumor_1	006_GSE291246	GSE291246	GSE291246::su002	eligible		f284e11cefc26893dc6a89e0cf1cffb677caf24d7e866dd57cae54ef9a4d9a21
006::GSE291246::section::su002_Pre_Tumor_1	006_GSE291246	GSE291246	GSE291246::su002	eligible		b10cec686622134f66ce95b29598120fc62d87a79afc7026edd65192525fc39d
006::GSE291246::section::su002_Pre_Tumor_2	006_GSE291246	GSE291246	GSE291246::su002	eligible		ec22afd93d84bb5435e58c6e8cd0ad7f8b320486e33f3ac2f42f03e0a1622340
006::GSE291246::section::su005_Post_Node_1	006_GSE291246	GSE291246	GSE291246::su005	eligible		ea8a17896ad833676b897e5b6d3d5e57511bfff0ac2aa716f01e4a8ac7e4edaf
006::GSE291246::section::su005_Post_Node_2	006_GSE291246	GSE291246	GSE291246::su005	eligible		b5a15dd5fba335c0182ae9c78c677e13845be575c158de7660f9cc8cbf1ae680
006::GSE291246::section::su005_Post_Tumor_1	006_GSE291246	GSE291246	GSE291246::su005	eligible		3004f026b03ec59f3422e1e8ac5c21377d63da91690aaf6b09f65a4a6f5deb5e
006::GSE291246::section::su005_Post_Tumor_2	006_GSE291246	GSE291246	GSE291246::su005	eligible		14490a3b6638cf6ed728f4f86763d531f08b2c0a22592b7e5956433a421ad06b
006::GSE291246::section::su005_Post_Tumor_3	006_GSE291246	GSE291246	GSE291246::su005	eligible		b6ce4b61721ce1c0467e94609d329859cec348ee5a7afeef672cb7d32ffc3b83
006::GSE291246::section::su006_Pre_Tumor_1	006_GSE291246	GSE291246	GSE291246::su006	eligible		9a728117b3167f567e4a26e256dce6d5a18bfa1cf2f119a46574c3baa7ed836d
006::GSE291246::section::su007_Post_Tumor_1	006_GSE291246	GSE291246	GSE291246::su007	eligible		a8a468b49bb415579e2ed88a60fb885034fcedf72d7394bd6be3c3830977bb60
006::GSE291246::section::su007_Pre_Tumor_1	006_GSE291246	GSE291246	GSE291246::su007	eligible		33b0fb7b2dc4b5caccd9896b50215d174c7a4d0e9422f48e9345af1307c64fb4
006::GSE291246::section::su008_Post_Tumor_1	006_GSE291246	GSE291246	GSE291246::su008	eligible		0261a2d8756a3a281a887d246e63aa2ce8f277f680cefe92a3fef14881c13bbc
006::GSE291246::section::su008_Post_Tumor_2	006_GSE291246	GSE291246	GSE291246::su008	eligible		c71e9e123a7487c334fa5d4b9bef845ee547c4f8b74a0bb2418e440cc949a44a
006::GSE291246::section::su008_Post_Tumor_3	006_GSE291246	GSE291246	GSE291246::su008	eligible		a5020ce22c4e839bba201fd4ca0e8407551ee258da0d71f3a87f36ace75e192e
006::GSE291246::section::su008_Post_Tumor_4	006_GSE291246	GSE291246	GSE291246::su008	eligible		5148c3974ae3f30573f3d1c2f65c4c2a4f130f889d588df7e4421e6d081bdd7f
